case,task,task_version,system,display_system,trial_id,answer_sha256,config_id,requested_model,observed_model_ids,source_priority,current_status,current_judge_label,status,selected_judge_label,selected_judge_commit,code_identity,fallback_relation,criterion_scores,original_points,focus50_points,focus60_points,focus70_points,passing_original,passing50,passing60,passing70,receipt,previous_snapshot_record,technical_reason
B1-codex-R02,B1,new6-b1-v2,codex,GPT-5.6 sol,NEW6-B-RETAIL-CLOSE-001-CODEX-R0__g7FKEQf,a9c9480e90db1f5dbae89919c196473d93507bfbbd7b8bb024609698c4b8e8df,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-b1-reader-v2.5-declared-traceability,SCORED,new6-b1-reader-v2.5-declared-traceability,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""1.0"", ""R004"": ""1.0"", ""R005"": ""1.0"", ""R006"": ""1.0"", ""R007"": ""1.0"", ""R008"": ""1.0""}",100,100,100,100,True,True,True,True,receipts/B1-codex-R02.json,,
C2-codex-R06,C2,new6-c2-natural-v2,codex,GPT-5.6 sol,NEW6-C-PARCEL-TARIFF-001-CODEX-R__PPAba2S,3f88f58d951a74327e121708e0045e42b18b6d986a205c7328cafddd4d584619,8ca5d5a4e8e6d50d,gpt-5.6-sol,,2_SAME_ORIGINAL_FIXED_SUCCESS,JUDGE_ERROR,new6-usps-facts-v2.4-natural-quote-layouts,SCORED,release_lock:new6-offline-reader-v1,34374f08f331e7184010c40b401f1630a49df394,LOCKED_COMMIT_AND_RELEASE,same trial and original hash; current status retained,"{""R001"": ""1"", ""R002"": ""1"", ""R003"": ""0.8571428571428571428571428571"", ""R004"": ""0.4545454545454545454545454545"", ""R005"": ""1"", ""R006"": ""1""}",79.4805194805194805194805194785,71.6283716283716283716283716257692307692307692308,66.3936063936063936063936063906153846153846153846,61.1588411588411588411588411554615384615384615385,True,True,False,False,receipts/C2-codex-R06.json,,
A2-codex-R02,A2,new6-a2-v1.0-zambia,codex,GPT-5.6 sol,NEW6-A-MACRO-SCENARIO-001-CODEX__Yk2M6RH,fd03ce232408b5280f8d8d864ddfb44f53a6b56763bd386086caf3ff1a639b67,8ca5d5a4e8e6d50d,gpt-5.6-sol,,2_SAME_ORIGINAL_FIXED_SUCCESS,JUDGE_ERROR,new6-a2-facts-v1.3-real-gdp-labels,SCORED,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,LOCKED_COMMIT_AND_RELEASE,same trial and original hash; current status retained,"{""R001"": ""1"", ""R002"": ""1"", ""R003"": ""1"", ""R004"": ""1"", ""R005"": ""1"", ""R006"": ""1""}",100,100,100,100,True,True,True,True,receipts/A2-codex-R02.json,,
A2-codex-R03,A2,new6-a2-v1.0-zambia,codex,GPT-5.6 sol,NEW6-A-MACRO-SCENARIO-001-CODEX__taFhFmX,1ee8383c6b4480967a61f302168c0c088518a7efd281a13447d5e8d6f02a66bb,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-a2-facts-v1.3-real-gdp-labels,SCORED,new6-a2-facts-v1.3-real-gdp-labels,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1"", ""R002"": ""0.75"", ""R003"": ""1"", ""R004"": ""0.8759124087591240875912408759124087591241"", ""R005"": ""1"", ""R006"": ""0.8947368421052631578947368421052631578947""}",88.2419323857087975412985017287744909719555,87.9979230695351517479830964271993853246259375,87.91658663081060315021129466000768344218275,87.8352501920860545524394928928159815597395625,True,True,True,True,receipts/A2-codex-R03.json,,
B1-codex-R07,B1,new6-b1-v2,codex,GPT-5.6 sol,NEW6-B-RETAIL-CLOSE-001-CODEX-R0__FLJS6zS,21fb3549bf61578cef76eb9f400060fd81799efdcda1e151f375c21f5d4af97b,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-b1-reader-v2.5-declared-traceability,SCORED,new6-b1-reader-v2.5-declared-traceability,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""1.0"", ""R004"": ""0.9166666666666666"", ""R005"": ""1.0"", ""R006"": ""1.0"", ""R007"": ""1.0"", ""R008"": ""1.0""}",98.749999999999999,99.0384615384615376923076923076923076923076923077,99.2307692307692301538461538461538461538461538462,99.4230769230769226153846153846153846153846153846,True,True,True,True,receipts/B1-codex-R07.json,,
A1-codex-R04,A1,new6-a1-v1.1-historical-rate,codex,GPT-5.6 sol,NEW6-A-FIN-RESTORE-001-CODEX-R04__rNSwGuP,a1f3f94de9984d06e4426eeee71c340ca136e8c600db4eb53e66a463a2bbc8aa,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-a1-v1.3-proven-formula-defects,SCORED,new6-a1-v1.3-proven-formula-defects,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1.0"", ""R002"": ""0.8333333333333334"", ""R003"": ""0.5492957746478874"", ""R006"": ""0.0"", ""R004"": ""0.44086021505376344"", ""R005"": ""1.0""}",62.2493563531728034,58.0578175421428512307692307692307692307692307692,55.2634583347895497846153846153846153846153846154,52.4690991274362483384615384615384615384615384615,False,False,False,False,receipts/A1-codex-R04.json,,
B1-codex-R03,B1,new6-b1-v2,codex,GPT-5.6 sol,NEW6-B-RETAIL-CLOSE-001-CODEX-R0__i89H9aQ,6a27d6fa6307701c7975423d96137be65e3e3d0c8435eccca3c230b1ec1b0a5b,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-b1-reader-v2.5-declared-traceability,SCORED,new6-b1-reader-v2.5-declared-traceability,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""0.9987684028047298"", ""R002"": ""0.9992163577096573"", ""R003"": ""1.0"", ""R004"": ""0.9922480620155039"", ""R005"": ""1.0"", ""R006"": ""0.9375"", ""R007"": ""1.0"", ""R008"": ""0.9932988634583167""}",99.355138958507883,99.4597697271488113186813186813186813186813186813,99.5295235729094301978021978021978021978021978022,99.5992774186700490769230769230769230769230769231,True,True,True,True,receipts/B1-codex-R03.json,,
A1-codex-R03,A1,new6-a1-v1.1-historical-rate,codex,GPT-5.6 sol,NEW6-A-FIN-RESTORE-001-CODEX-R03__q2MuEmE,0e4bca11cfc7dbf14e4e8f1e5def818177daf3aff219bd710e9152018ecd2d13,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-a1-v1.3-proven-formula-defects,SCORED,new6-a1-v1.3-proven-formula-defects,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""0.9154929577464789"", ""R006"": ""0.0"", ""R004"": ""0.9838709677419355"", ""R005"": ""1.0""}",92.7453430258973205,94.0472861985810657692307692307692307692307692308,94.9152483137035626153846153846153846153846153846,95.7832104288260594615384615384615384615384615385,True,True,True,True,receipts/A1-codex-R03.json,,
B1-codex-R06,B1,new6-b1-v2,codex,GPT-5.6 sol,NEW6-B-RETAIL-CLOSE-001-CODEX-R0__YVpN3S7,760e81f2718066138d02bda4cc28ef30ffbb53cab482f00a363f9a54f19d2de3,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-b1-reader-v2.5-declared-traceability,SCORED,new6-b1-reader-v2.5-declared-traceability,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""1.0"", ""R004"": ""1.0"", ""R005"": ""1.0"", ""R006"": ""1.0"", ""R007"": ""1.0"", ""R008"": ""1.0""}",100,100,100,100,True,True,True,True,receipts/B1-codex-R06.json,,
A2-codex-R08,A2,new6-a2-v1.0-zambia,codex,GPT-5.6 sol,NEW6-A-MACRO-SCENARIO-001-CODEX__J7TZcZg,5efb8c0a2bb077d673a9ad3efb5f8fc299681077c31570a6fc9f4037af7189c4,8ca5d5a4e8e6d50d,gpt-5.6-sol,,2_SAME_ORIGINAL_FIXED_SUCCESS,JUDGE_ERROR,new6-a2-facts-v1.3-real-gdp-labels,SCORED,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,LOCKED_COMMIT_AND_RELEASE,same trial and original hash; current status retained,"{""R001"": ""1"", ""R002"": ""1"", ""R003"": ""1"", ""R004"": ""0.9963503649635036496350364963503649635036"", ""R005"": ""1"", ""R006"": ""0.8947368421052631578947368421052631578947""}",99.4006915097963887821744141375336150595455,99.4885708797541298501728774490971955436009375,99.51786400307337687283903188628505570495275,99.5471571263926238955051863234729158663045625,True,True,True,True,receipts/A2-codex-R08.json,,
C2-codex-R01,C2,new6-c2-natural-v2,codex,GPT-5.6 sol,NEW6-C-PARCEL-TARIFF-001-CODEX-R__Sdo36Gk,ed294111b5cac85e6da46a3a298bdaa6b808eff5fea521991adb9b3b7d55ed60,8ca5d5a4e8e6d50d,gpt-5.6-sol,,2_SAME_ORIGINAL_FIXED_SUCCESS,JUDGE_ERROR,new6-usps-facts-v2.4-natural-quote-layouts,SCORED,release_lock:new6-offline-reader-v1,34374f08f331e7184010c40b401f1630a49df394,LOCKED_COMMIT_AND_RELEASE,same trial and original hash; current status retained,"{""R001"": ""1"", ""R002"": ""1"", ""R003"": ""1"", ""R004"": ""1"", ""R005"": ""1"", ""R006"": ""1""}",100,100,100,100,True,True,True,True,receipts/C2-codex-R01.json,,
C2-codex-R05,C2,new6-c2-natural-v2,codex,GPT-5.6 sol,NEW6-C-PARCEL-TARIFF-001-CODEX-R__xYoGq7T,ef02ca99293fc095a7c1a775e9e006f660aaa01394da81e4a5fcb3abfcc9ff1c,8ca5d5a4e8e6d50d,gpt-5.6-sol,,2_SAME_ORIGINAL_FIXED_SUCCESS,JUDGE_ERROR,new6-usps-facts-v2.4-natural-quote-layouts,SCORED,release_lock:new6-offline-reader-v1,34374f08f331e7184010c40b401f1630a49df394,LOCKED_COMMIT_AND_RELEASE,same trial and original hash; current status retained,"{""R001"": ""1"", ""R002"": ""1"", ""R003"": ""1"", ""R004"": ""1"", ""R005"": ""1"", ""R006"": ""1""}",100,100,100,100,True,True,True,True,receipts/C2-codex-R05.json,,
C2-codex-R08,C2,new6-c2-natural-v2,codex,GPT-5.6 sol,NEW6-C-PARCEL-TARIFF-001-CODEX-R__7UpKMvg,c951e64482861206c9b0f5f6123c1ea8663b7b9b28a9321349898f287b101815,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-usps-facts-v2.4-natural-quote-layouts,SCORED,new6-usps-facts-v2.4-natural-quote-layouts,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""0.5833333333333333333333333333"", ""R002"": ""0.6"", ""R003"": ""0"", ""R004"": ""0"", ""R005"": ""0.03846153846153846153846153846"", ""R006"": ""0.6153846153846153846153846154""}",29.6858974358974358974358974348,22.8353057199211045364891518729230769230769230769,18.2682445759368836291913214983384615384615384615,13.7011834319526627218934911237538461538461538462,False,False,False,False,receipts/C2-codex-R08.json,,
B1-codex-R04,B1,new6-b1-v2,codex,GPT-5.6 sol,NEW6-B-RETAIL-CLOSE-001-CODEX-R0__JatSZGt,564e5b343e6ef1b4cee1a8242632133286625a0cdece92ba26a7627fc53f5270,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-b1-reader-v2.5-declared-traceability,SCORED,new6-b1-reader-v2.5-declared-traceability,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""1.0"", ""R004"": ""1.0"", ""R005"": ""1.0"", ""R006"": ""1.0"", ""R007"": ""1.0"", ""R008"": ""0.9946848899012908""}",99.946848899012908,99.9240698557327257142857142857142857142857142857,99.9088838268792708571428571428571428571428571429,99.893697798025816,True,True,True,True,receipts/B1-codex-R04.json,,
C2-codex-R02,C2,new6-c2-natural-v2,codex,GPT-5.6 sol,NEW6-C-PARCEL-TARIFF-001-CODEX-R__mmFw8de,2950a925ff9b83f581ff76a24b38bf59a1c08a38f7a7c0a7015dc725cd78aa74,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-usps-facts-v2.4-natural-quote-layouts,SCORED,new6-usps-facts-v2.4-natural-quote-layouts,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""0.5833333333333333333333333333"", ""R002"": ""0.6"", ""R003"": ""0.02040816326530612244897959184"", ""R004"": ""0"", ""R005"": ""0.07692307692307692307692307692"", ""R006"": ""0.6153846153846153846153846154""}",30.0822867608581894296180010455,23.1402205852755303304753854196153846153846153846,18.5121764682204242643803083356923076923076923077,13.8841323511653181982852312517692307692307692308,False,False,False,False,receipts/C2-codex-R02.json,,
A1-codex-R06,A1,new6-a1-v1.1-historical-rate,codex,GPT-5.6 sol,NEW6-A-FIN-RESTORE-001-CODEX-R06__VUt9VS4,0cd2113f994b7ddec81e877ccec52f373705c635242b5a19ebfc6333902c2ebc,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-a1-v1.3-proven-formula-defects,SCORED,new6-a1-v1.3-proven-formula-defects,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""1.0"", ""R006"": ""0.8"", ""R004"": ""1.0"", ""R005"": ""1.0""}",99,99.2307692307692307692307692307692307692307692308,99.3846153846153846153846153846153846153846153846,99.5384615384615384615384615384615384615384615385,True,True,True,True,receipts/A1-codex-R06.json,,
C2-codex-R07,C2,new6-c2-natural-v2,codex,GPT-5.6 sol,NEW6-C-PARCEL-TARIFF-001-CODEX-R__tjkAVwu,b5efebca379c151ec83034b395d6c33f90a6a621a8661392291f437f6dcaf290,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-usps-facts-v2.4-natural-quote-layouts,SCORED,new6-usps-facts-v2.4-natural-quote-layouts,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1"", ""R002"": ""1"", ""R003"": ""0.9795918367346938775510204082"", ""R004"": ""0.7272727272727272727272727273"", ""R005"": ""0.9615384615384615384615384615"", ""R006"": ""1""}",90.058156129584701013272441845,86.0587214982819378423774028184615384615384615385,83.3924317440800957284473768007692307692307692308,80.7261419898782536145173507830769230769230769231,True,True,True,True,receipts/C2-codex-R07.json,,
A2-codex-R06,A2,new6-a2-v1.0-zambia,codex,GPT-5.6 sol,NEW6-A-MACRO-SCENARIO-001-CODEX__YyqXn6p,db7cf3abfd673e4493028bd04cbb6e4db7e4d842c5c6780ee944818e0a39e0a2,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-a2-facts-v1.3-real-gdp-labels,SCORED,new6-a2-facts-v1.3-real-gdp-labels,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1"", ""R002"": ""0.75"", ""R003"": ""1"", ""R004"": ""0.8759124087591240875912408759124087591241"", ""R005"": ""1"", ""R006"": ""0.8947368421052631578947368421052631578947""}",88.2419323857087975412985017287744909719555,87.9979230695351517479830964271993853246259375,87.91658663081060315021129466000768344218275,87.8352501920860545524394928928159815597395625,True,True,True,True,receipts/A2-codex-R06.json,,
A1-codex-R05,A1,new6-a1-v1.1-historical-rate,codex,GPT-5.6 sol,NEW6-A-FIN-RESTORE-001-CODEX-R05__7xBF9se,c723c4969955e40ef7c5d683f8f1b54fbcbff522eeafdc1dc56862f5066e5a1c,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-a1-v1.3-proven-formula-defects,SCORED,new6-a1-v1.3-proven-formula-defects,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""0.9225352112676056"", ""R006"": ""0.0"", ""R004"": ""0.967741935483871"", ""R005"": ""1.0""}",92.321671967287597,93.3491769475413284615384615384615384615384615385,94.0341802677104827692307692307692307692307692308,94.7191835878796370769230769230769230769230769231,True,True,True,True,receipts/A1-codex-R05.json,,
A1-codex-R01,A1,new6-a1-v1.1-historical-rate,codex,GPT-5.6 sol,NEW6-A-FIN-RESTORE-001-CODEX-R01__c8VpyLQ,ed51e6b91f0a97cdd66235c069282cf1513cd285c8db0ddd89e461fe9214b2e3,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-a1-v1.3-proven-formula-defects,SCORED,new6-a1-v1.3-proven-formula-defects,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""0.9154929577464789"", ""R006"": ""0.0"", ""R004"": ""0.9838709677419355"", ""R005"": ""1.0""}",92.7453430258973205,94.0472861985810657692307692307692307692307692308,94.9152483137035626153846153846153846153846153846,95.7832104288260594615384615384615384615384615385,True,True,True,True,receipts/A1-codex-R01.json,,
A1-codex-R08,A1,new6-a1-v1.1-historical-rate,codex,GPT-5.6 sol,NEW6-A-FIN-RESTORE-001-CODEX-R08__bF2niLj,510d623e625be84c32421d2a357df6fe59e17cf3505c20013ac186fd65c70667,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-a1-v1.3-proven-formula-defects,SCORED,new6-a1-v1.3-proven-formula-defects,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""0.9154929577464789"", ""R006"": ""0.0"", ""R004"": ""0.956989247311828"", ""R005"": ""0.9990079365079365""}",91.7995224933832405,92.6993845482600619230769230769230769230769230769,93.2992925848446095384615384615384615384615384615,93.8992006214291571538461538461538461538461538462,True,True,True,True,receipts/A1-codex-R08.json,,
A2-codex-R04,A2,new6-a2-v1.0-zambia,codex,GPT-5.6 sol,NEW6-A-MACRO-SCENARIO-001-CODEX__dzBCyfb,bd4b25a929716ff0d742308da9b68a0dfe0769aee2015e3c65824cfc7bc6ee50,8ca5d5a4e8e6d50d,gpt-5.6-sol,,1_CURRENT_DECLARED_SUCCESS,SCORED,new6-a2-facts-v1.3-real-gdp-labels,SCORED,new6-a2-facts-v1.3-real-gdp-labels,,LABEL_ONLY_NO_IMMUTABLE_COMMIT_ATTESTED,,"{""R001"": ""1"", ""R002"": ""1"", ""R003"": ""1"", ""R004"": ""1"", ""R005"": ""1"", ""R006"": ""1""}",100,100,100,100,True,True,True,True,receipts/A2-codex-R04.json,,
