trial,task,system,criterion,credit,weight,contribution,receipt
B1-codex-R05,B1,GPT-5.6 sol,R002,1.0,15,0.15,results/receipts/B1-codex-R05/prior/verifier/judge-result.json
B1-codex-R05,B1,GPT-5.6 sol,R003,1.0,10,0.1,results/receipts/B1-codex-R05/prior/verifier/judge-result.json
B1-codex-R05,B1,GPT-5.6 sol,R004,1.0,15,0.15,results/receipts/B1-codex-R05/prior/verifier/judge-result.json
B1-codex-R05,B1,GPT-5.6 sol,R005,1.0,8,0.08,results/receipts/B1-codex-R05/prior/verifier/judge-result.json
B1-codex-R05,B1,GPT-5.6 sol,R006,1.0,7,0.07,results/receipts/B1-codex-R05/prior/verifier/judge-result.json
B1-codex-R05,B1,GPT-5.6 sol,R007,1.0,25,0.25,results/receipts/B1-codex-R05/prior/verifier/judge-result.json
B1-codex-R05,B1,GPT-5.6 sol,R008,1.0,10,0.1,results/receipts/B1-codex-R05/prior/verifier/judge-result.json
B1-codex-R02,B1,GPT-5.6 sol,R001,1.0,10,0.1,results/receipts/B1-codex-R02/prior/verifier/judge-result.json
B1-codex-R02,B1,GPT-5.6 sol,R002,1.0,15,0.15,results/receipts/B1-codex-R02/prior/verifier/judge-result.json
B1-codex-R02,B1,GPT-5.6 sol,R003,1.0,10,0.1,results/receipts/B1-codex-R02/prior/verifier/judge-result.json
B1-codex-R02,B1,GPT-5.6 sol,R004,1.0,15,0.15,results/receipts/B1-codex-R02/prior/verifier/judge-result.json
B1-codex-R02,B1,GPT-5.6 sol,R005,1.0,8,0.08,results/receipts/B1-codex-R02/prior/verifier/judge-result.json
B1-codex-R02,B1,GPT-5.6 sol,R006,1.0,7,0.07,results/receipts/B1-codex-R02/prior/verifier/judge-result.json
B1-codex-R02,B1,GPT-5.6 sol,R007,1.0,25,0.25,results/receipts/B1-codex-R02/prior/verifier/judge-result.json
B1-codex-R02,B1,GPT-5.6 sol,R008,1.0,10,0.1,results/receipts/B1-codex-R02/prior/verifier/judge-result.json
A2-codex-R03,A2,GPT-5.6 sol,R001,1,15,0.15,results/receipts/A2-codex-R03/prior/verifier/judge-result.json
A2-codex-R03,A2,GPT-5.6 sol,R002,0.75,35,0.2625,results/receipts/A2-codex-R03/prior/verifier/judge-result.json
A2-codex-R03,A2,GPT-5.6 sol,R003,1,20,0.2,results/receipts/A2-codex-R03/prior/verifier/judge-result.json
A2-codex-R03,A2,GPT-5.6 sol,R004,0.8759124087591240875912408759124087591241,20,0.1751824817518248175182481752,results/receipts/A2-codex-R03/prior/verifier/judge-result.json
A2-codex-R03,A2,GPT-5.6 sol,R005,1,5,0.05,results/receipts/A2-codex-R03/prior/verifier/judge-result.json
A2-codex-R03,A2,GPT-5.6 sol,R006,0.8947368421052631578947368421052631578947,5,0.04473684210526315789473684211,results/receipts/A2-codex-R03/prior/verifier/judge-result.json
B1-codex-R07,B1,GPT-5.6 sol,R001,1.0,10,0.1,results/receipts/B1-codex-R07/prior/verifier/judge-result.json
B1-codex-R07,B1,GPT-5.6 sol,R002,1.0,15,0.15,results/receipts/B1-codex-R07/prior/verifier/judge-result.json
B1-codex-R07,B1,GPT-5.6 sol,R003,1.0,10,0.1,results/receipts/B1-codex-R07/prior/verifier/judge-result.json
B1-codex-R07,B1,GPT-5.6 sol,R004,0.9166666666666666,15,0.13749999999999999,results/receipts/B1-codex-R07/prior/verifier/judge-result.json
B1-codex-R07,B1,GPT-5.6 sol,R005,1.0,8,0.08,results/receipts/B1-codex-R07/prior/verifier/judge-result.json
B1-codex-R07,B1,GPT-5.6 sol,R006,1.0,7,0.07,results/receipts/B1-codex-R07/prior/verifier/judge-result.json
B1-codex-R07,B1,GPT-5.6 sol,R007,1.0,25,0.25,results/receipts/B1-codex-R07/prior/verifier/judge-result.json
B1-codex-R07,B1,GPT-5.6 sol,R008,1.0,10,0.1,results/receipts/B1-codex-R07/prior/verifier/judge-result.json
A1-codex-R04,A1,GPT-5.6 sol,R001,1.0,10,0.1,results/receipts/A1-codex-R04/prior/verifier/judge-result.json
A1-codex-R04,A1,GPT-5.6 sol,R002,0.8333333333333334,25,0.20833333333333335,results/receipts/A1-codex-R04/prior/verifier/judge-result.json
A1-codex-R04,A1,GPT-5.6 sol,R003,0.5492957746478874,20,0.10985915492957748,results/receipts/A1-codex-R04/prior/verifier/judge-result.json
A1-codex-R04,A1,GPT-5.6 sol,R006,0.0,5,0.0,results/receipts/A1-codex-R04/prior/verifier/judge-result.json
A1-codex-R04,A1,GPT-5.6 sol,R004,0.44086021505376344,35,0.154301075268817204,results/receipts/A1-codex-R04/prior/verifier/judge-result.json
A1-codex-R04,A1,GPT-5.6 sol,R005,1.0,5,0.05,results/receipts/A1-codex-R04/prior/verifier/judge-result.json
B1-codex-R03,B1,GPT-5.6 sol,R001,0.9798799205436851,10,0.09798799205436851,results/receipts/B1-codex-R03/prior/verifier/judge-result.json
B1-codex-R03,B1,GPT-5.6 sol,R002,1.0,15,0.15,results/receipts/B1-codex-R03/prior/verifier/judge-result.json
B1-codex-R03,B1,GPT-5.6 sol,R003,1.0,10,0.1,results/receipts/B1-codex-R03/prior/verifier/judge-result.json
B1-codex-R03,B1,GPT-5.6 sol,R004,0.9418604651162791,15,0.141279069767441865,results/receipts/B1-codex-R03/prior/verifier/judge-result.json
B1-codex-R03,B1,GPT-5.6 sol,R005,1.0,8,0.08,results/receipts/B1-codex-R03/prior/verifier/judge-result.json
B1-codex-R03,B1,GPT-5.6 sol,R006,0.8125,7,0.056875,results/receipts/B1-codex-R03/prior/verifier/judge-result.json
B1-codex-R03,B1,GPT-5.6 sol,R007,1.0,25,0.25,results/receipts/B1-codex-R03/prior/verifier/judge-result.json
B1-codex-R03,B1,GPT-5.6 sol,R008,0.9932988634583167,10,0.09932988634583167,results/receipts/B1-codex-R03/prior/verifier/judge-result.json
A1-codex-R03,A1,GPT-5.6 sol,R001,1.0,10,0.1,results/receipts/A1-codex-R03/prior/verifier/judge-result.json
A1-codex-R03,A1,GPT-5.6 sol,R002,1.0,25,0.25,results/receipts/A1-codex-R03/prior/verifier/judge-result.json
A1-codex-R03,A1,GPT-5.6 sol,R003,0.9154929577464789,20,0.18309859154929578,results/receipts/A1-codex-R03/prior/verifier/judge-result.json
A1-codex-R03,A1,GPT-5.6 sol,R006,0.0,5,0.0,results/receipts/A1-codex-R03/prior/verifier/judge-result.json
A1-codex-R03,A1,GPT-5.6 sol,R004,0.9838709677419355,35,0.344354838709677425,results/receipts/A1-codex-R03/prior/verifier/judge-result.json
A1-codex-R03,A1,GPT-5.6 sol,R005,1.0,5,0.05,results/receipts/A1-codex-R03/prior/verifier/judge-result.json
B1-codex-R06,B1,GPT-5.6 sol,R001,0.35234029340992007,10,0.035234029340992007,results/receipts/B1-codex-R06/prior/verifier/judge-result.json
B1-codex-R06,B1,GPT-5.6 sol,R002,0.009472636815920397,15,0.00142089552238805955,results/receipts/B1-codex-R06/prior/verifier/judge-result.json
B1-codex-R06,B1,GPT-5.6 sol,R003,0.24621212121212122,10,0.024621212121212122,results/receipts/B1-codex-R06/prior/verifier/judge-result.json
B1-codex-R06,B1,GPT-5.6 sol,R004,0.6744186046511628,15,0.10116279069767442,results/receipts/B1-codex-R06/prior/verifier/judge-result.json
B1-codex-R06,B1,GPT-5.6 sol,R005,1.0,8,0.08,results/receipts/B1-codex-R06/prior/verifier/judge-result.json
B1-codex-R06,B1,GPT-5.6 sol,R006,0.5142552200574401,7,0.035997865404020807,results/receipts/B1-codex-R06/prior/verifier/judge-result.json
B1-codex-R06,B1,GPT-5.6 sol,R007,1.0,25,0.25,results/receipts/B1-codex-R06/prior/verifier/judge-result.json
B1-codex-R06,B1,GPT-5.6 sol,R008,1.0,10,0.1,results/receipts/B1-codex-R06/prior/verifier/judge-result.json
C2-codex-R08,C2,GPT-5.6 sol,R001,0.5833333333333333333333333333,35,0.2041666666666666666666666667,results/receipts/C2-codex-R08/prior/verifier/judge-result.json
C2-codex-R08,C2,GPT-5.6 sol,R002,0.6,10,0.06,results/receipts/C2-codex-R08/prior/verifier/judge-result.json
C2-codex-R08,C2,GPT-5.6 sol,R003,0,10,0,results/receipts/C2-codex-R08/prior/verifier/judge-result.json
C2-codex-R08,C2,GPT-5.6 sol,R004,0,35,0,results/receipts/C2-codex-R08/prior/verifier/judge-result.json
C2-codex-R08,C2,GPT-5.6 sol,R005,0.03846153846153846153846153846,5,0.001923076923076923076923076923,results/receipts/C2-codex-R08/prior/verifier/judge-result.json
C2-codex-R08,C2,GPT-5.6 sol,R006,0.6153846153846153846153846154,5,0.03076923076923076923076923077,results/receipts/C2-codex-R08/prior/verifier/judge-result.json
B1-codex-R04,B1,GPT-5.6 sol,R001,1.0,10,0.1,results/receipts/B1-codex-R04/prior/verifier/judge-result.json
B1-codex-R04,B1,GPT-5.6 sol,R002,1.0,15,0.15,results/receipts/B1-codex-R04/prior/verifier/judge-result.json
B1-codex-R04,B1,GPT-5.6 sol,R003,1.0,10,0.1,results/receipts/B1-codex-R04/prior/verifier/judge-result.json
B1-codex-R04,B1,GPT-5.6 sol,R004,1.0,15,0.15,results/receipts/B1-codex-R04/prior/verifier/judge-result.json
B1-codex-R04,B1,GPT-5.6 sol,R005,1.0,8,0.08,results/receipts/B1-codex-R04/prior/verifier/judge-result.json
B1-codex-R04,B1,GPT-5.6 sol,R006,1.0,7,0.07,results/receipts/B1-codex-R04/prior/verifier/judge-result.json
B1-codex-R04,B1,GPT-5.6 sol,R007,1.0,25,0.25,results/receipts/B1-codex-R04/prior/verifier/judge-result.json
B1-codex-R04,B1,GPT-5.6 sol,R008,0.9946848899012908,10,0.09946848899012908,results/receipts/B1-codex-R04/prior/verifier/judge-result.json
C2-codex-R02,C2,GPT-5.6 sol,R001,0.5833333333333333333333333333,35,0.2041666666666666666666666667,results/receipts/C2-codex-R02/prior/verifier/judge-result.json
C2-codex-R02,C2,GPT-5.6 sol,R002,0.6,10,0.06,results/receipts/C2-codex-R02/prior/verifier/judge-result.json
C2-codex-R02,C2,GPT-5.6 sol,R003,0.02040816326530612244897959184,10,0.002040816326530612244897959184,results/receipts/C2-codex-R02/prior/verifier/judge-result.json
C2-codex-R02,C2,GPT-5.6 sol,R004,0,35,0,results/receipts/C2-codex-R02/prior/verifier/judge-result.json
C2-codex-R02,C2,GPT-5.6 sol,R005,0.07692307692307692307692307692,5,0.003846153846153846153846153846,results/receipts/C2-codex-R02/prior/verifier/judge-result.json
C2-codex-R02,C2,GPT-5.6 sol,R006,0.6153846153846153846153846154,5,0.03076923076923076923076923077,results/receipts/C2-codex-R02/prior/verifier/judge-result.json
A1-codex-R06,A1,GPT-5.6 sol,R001,1.0,10,0.1,results/receipts/A1-codex-R06/prior/verifier/judge-result.json
A1-codex-R06,A1,GPT-5.6 sol,R002,1.0,25,0.25,results/receipts/A1-codex-R06/prior/verifier/judge-result.json
A1-codex-R06,A1,GPT-5.6 sol,R003,1.0,20,0.2,results/receipts/A1-codex-R06/prior/verifier/judge-result.json
A1-codex-R06,A1,GPT-5.6 sol,R006,0.8,5,0.04,results/receipts/A1-codex-R06/prior/verifier/judge-result.json
A1-codex-R06,A1,GPT-5.6 sol,R004,1.0,35,0.35,results/receipts/A1-codex-R06/prior/verifier/judge-result.json
A1-codex-R06,A1,GPT-5.6 sol,R005,1.0,5,0.05,results/receipts/A1-codex-R06/prior/verifier/judge-result.json
C2-codex-R07,C2,GPT-5.6 sol,R001,1,35,0.35,results/receipts/C2-codex-R07/prior/verifier/judge-result.json
C2-codex-R07,C2,GPT-5.6 sol,R002,1,10,0.1,results/receipts/C2-codex-R07/prior/verifier/judge-result.json
C2-codex-R07,C2,GPT-5.6 sol,R003,0.9795918367346938775510204082,10,0.09795918367346938775510204082,results/receipts/C2-codex-R07/prior/verifier/judge-result.json
C2-codex-R07,C2,GPT-5.6 sol,R004,0.7272727272727272727272727273,35,0.2545454545454545454545454546,results/receipts/C2-codex-R07/prior/verifier/judge-result.json
C2-codex-R07,C2,GPT-5.6 sol,R005,0.9615384615384615384615384615,5,0.04807692307692307692307692308,results/receipts/C2-codex-R07/prior/verifier/judge-result.json
C2-codex-R07,C2,GPT-5.6 sol,R006,1,5,0.05,results/receipts/C2-codex-R07/prior/verifier/judge-result.json
A2-codex-R06,A2,GPT-5.6 sol,R001,1,15,0.15,results/receipts/A2-codex-R06/prior/verifier/judge-result.json
A2-codex-R06,A2,GPT-5.6 sol,R002,0.75,35,0.2625,results/receipts/A2-codex-R06/prior/verifier/judge-result.json
A2-codex-R06,A2,GPT-5.6 sol,R003,1,20,0.2,results/receipts/A2-codex-R06/prior/verifier/judge-result.json
A2-codex-R06,A2,GPT-5.6 sol,R004,0.8759124087591240875912408759124087591241,20,0.1751824817518248175182481752,results/receipts/A2-codex-R06/prior/verifier/judge-result.json
A2-codex-R06,A2,GPT-5.6 sol,R005,1,5,0.05,results/receipts/A2-codex-R06/prior/verifier/judge-result.json
A2-codex-R06,A2,GPT-5.6 sol,R006,0.8947368421052631578947368421052631578947,5,0.04473684210526315789473684211,results/receipts/A2-codex-R06/prior/verifier/judge-result.json
A1-codex-R05,A1,GPT-5.6 sol,R001,1.0,10,0.1,results/receipts/A1-codex-R05/prior/verifier/judge-result.json
A1-codex-R05,A1,GPT-5.6 sol,R002,1.0,25,0.25,results/receipts/A1-codex-R05/prior/verifier/judge-result.json
A1-codex-R05,A1,GPT-5.6 sol,R003,0.9225352112676056,20,0.18450704225352112,results/receipts/A1-codex-R05/prior/verifier/judge-result.json
A1-codex-R05,A1,GPT-5.6 sol,R006,0.0,5,0.0,results/receipts/A1-codex-R05/prior/verifier/judge-result.json
A1-codex-R05,A1,GPT-5.6 sol,R004,0.967741935483871,35,0.33870967741935485,results/receipts/A1-codex-R05/prior/verifier/judge-result.json
A1-codex-R05,A1,GPT-5.6 sol,R005,1.0,5,0.05,results/receipts/A1-codex-R05/prior/verifier/judge-result.json
A1-codex-R01,A1,GPT-5.6 sol,R001,1.0,10,0.1,results/receipts/A1-codex-R01/prior/verifier/judge-result.json
A1-codex-R01,A1,GPT-5.6 sol,R002,1.0,25,0.25,results/receipts/A1-codex-R01/prior/verifier/judge-result.json
A1-codex-R01,A1,GPT-5.6 sol,R003,0.9154929577464789,20,0.18309859154929578,results/receipts/A1-codex-R01/prior/verifier/judge-result.json
A1-codex-R01,A1,GPT-5.6 sol,R006,0.0,5,0.0,results/receipts/A1-codex-R01/prior/verifier/judge-result.json
A1-codex-R01,A1,GPT-5.6 sol,R004,0.9838709677419355,35,0.344354838709677425,results/receipts/A1-codex-R01/prior/verifier/judge-result.json
A1-codex-R01,A1,GPT-5.6 sol,R005,1.0,5,0.05,results/receipts/A1-codex-R01/prior/verifier/judge-result.json
A1-codex-R08,A1,GPT-5.6 sol,R001,1.0,10,0.1,results/receipts/A1-codex-R08/prior/verifier/judge-result.json
A1-codex-R08,A1,GPT-5.6 sol,R002,1.0,25,0.25,results/receipts/A1-codex-R08/prior/verifier/judge-result.json
A1-codex-R08,A1,GPT-5.6 sol,R003,0.9154929577464789,20,0.18309859154929578,results/receipts/A1-codex-R08/prior/verifier/judge-result.json
A1-codex-R08,A1,GPT-5.6 sol,R006,0.0,5,0.0,results/receipts/A1-codex-R08/prior/verifier/judge-result.json
A1-codex-R08,A1,GPT-5.6 sol,R004,0.956989247311828,35,0.3349462365591398,results/receipts/A1-codex-R08/prior/verifier/judge-result.json
A1-codex-R08,A1,GPT-5.6 sol,R005,0.9990079365079365,5,0.049950396825396825,results/receipts/A1-codex-R08/prior/verifier/judge-result.json
A2-codex-R04,A2,GPT-5.6 sol,R001,1,15,0.15,results/receipts/A2-codex-R04/prior/verifier/judge-result.json
A2-codex-R04,A2,GPT-5.6 sol,R002,1,35,0.35,results/receipts/A2-codex-R04/prior/verifier/judge-result.json
A2-codex-R04,A2,GPT-5.6 sol,R003,1,20,0.2,results/receipts/A2-codex-R04/prior/verifier/judge-result.json
A2-codex-R04,A2,GPT-5.6 sol,R004,1,20,0.2,results/receipts/A2-codex-R04/prior/verifier/judge-result.json
A2-codex-R04,A2,GPT-5.6 sol,R005,1,5,0.05,results/receipts/A2-codex-R04/prior/verifier/judge-result.json
A2-codex-R04,A2,GPT-5.6 sol,R006,1,5,0.05,results/receipts/A2-codex-R04/prior/verifier/judge-result.json
A1-claude-R04,A1,Opus 5,R001,1.0,10,0.1,results/receipts/A1-claude-R04/prior/verifier/judge-result.json
A1-claude-R04,A1,Opus 5,R002,0.5303030303030303,25,0.132575757575757575,results/receipts/A1-claude-R04/prior/verifier/judge-result.json
A1-claude-R04,A1,Opus 5,R003,0.4084507042253521,20,0.08169014084507042,results/receipts/A1-claude-R04/prior/verifier/judge-result.json
A1-claude-R04,A1,Opus 5,R006,0.0,5,0.0,results/receipts/A1-claude-R04/prior/verifier/judge-result.json
A1-claude-R04,A1,Opus 5,R004,0.3870967741935484,35,0.13548387096774194,results/receipts/A1-claude-R04/prior/verifier/judge-result.json
A1-claude-R04,A1,Opus 5,R005,0.9702380952380952,5,0.04851190476190476,results/receipts/A1-claude-R04/prior/verifier/judge-result.json
A1-claude-R01,A1,Opus 5,R001,1.0,10,0.1,results/receipts/A1-claude-R01/prior/verifier/judge-result.json
A1-claude-R01,A1,Opus 5,R002,1.0,25,0.25,results/receipts/A1-claude-R01/prior/verifier/judge-result.json
A1-claude-R01,A1,Opus 5,R003,0.8450704225352113,20,0.16901408450704226,results/receipts/A1-claude-R01/prior/verifier/judge-result.json
A1-claude-R01,A1,Opus 5,R006,0.0,5,0.0,results/receipts/A1-claude-R01/prior/verifier/judge-result.json
A1-claude-R01,A1,Opus 5,R004,0.8440860215053764,35,0.29543010752688174,results/receipts/A1-claude-R01/prior/verifier/judge-result.json
A1-claude-R01,A1,Opus 5,R005,1.0,5,0.05,results/receipts/A1-claude-R01/prior/verifier/judge-result.json
A1-claude-R07,A1,Opus 5,R001,1.0,10,0.1,results/receipts/A1-claude-R07/prior/verifier/judge-result.json
A1-claude-R07,A1,Opus 5,R002,0.4772727272727273,25,0.119318181818181825,results/receipts/A1-claude-R07/prior/verifier/judge-result.json
A1-claude-R07,A1,Opus 5,R003,0.4084507042253521,20,0.08169014084507042,results/receipts/A1-claude-R07/prior/verifier/judge-result.json
A1-claude-R07,A1,Opus 5,R006,0.0,5,0.0,results/receipts/A1-claude-R07/prior/verifier/judge-result.json
A1-claude-R07,A1,Opus 5,R004,0.20698924731182797,35,0.0724462365591397895,results/receipts/A1-claude-R07/prior/verifier/judge-result.json
A1-claude-R07,A1,Opus 5,R005,0.9603174603174602,5,0.04801587301587301,results/receipts/A1-claude-R07/prior/verifier/judge-result.json
B1-claude-R07,B1,Opus 5,R001,0.3576715280300353,10,0.03576715280300353,results/receipts/B1-claude-R07/prior/verifier/judge-result.json
B1-claude-R07,B1,Opus 5,R002,0.01439165831636654,15,0.002158748747454981,results/receipts/B1-claude-R07/prior/verifier/judge-result.json
B1-claude-R07,B1,Opus 5,R003,0.999810606060606,10,0.0999810606060606,results/receipts/B1-claude-R07/prior/verifier/judge-result.json
B1-claude-R07,B1,Opus 5,R004,0.3391472868217054,15,0.05087209302325581,results/receipts/B1-claude-R07/prior/verifier/judge-result.json
B1-claude-R07,B1,Opus 5,R005,0.5,8,0.04,results/receipts/B1-claude-R07/prior/verifier/judge-result.json
B1-claude-R07,B1,Opus 5,R006,0.5161341496545835,7,0.036129390475820845,results/receipts/B1-claude-R07/prior/verifier/judge-result.json
B1-claude-R07,B1,Opus 5,R007,1.0,25,0.25,results/receipts/B1-claude-R07/prior/verifier/judge-result.json
B1-claude-R07,B1,Opus 5,R008,1.0,10,0.1,results/receipts/B1-claude-R07/prior/verifier/judge-result.json
B1-claude-R08,B1,Opus 5,R001,0.35234029340992007,10,0.035234029340992007,results/receipts/B1-claude-R08/prior/verifier/judge-result.json
B1-claude-R08,B1,Opus 5,R002,0.009472636815920397,15,0.00142089552238805955,results/receipts/B1-claude-R08/prior/verifier/judge-result.json
B1-claude-R08,B1,Opus 5,R003,1.0,10,0.1,results/receipts/B1-claude-R08/prior/verifier/judge-result.json
B1-claude-R08,B1,Opus 5,R004,0.5910852713178295,15,0.088662790697674425,results/receipts/B1-claude-R08/prior/verifier/judge-result.json
B1-claude-R08,B1,Opus 5,R005,0.5,8,0.04,results/receipts/B1-claude-R08/prior/verifier/judge-result.json
B1-claude-R08,B1,Opus 5,R006,0.5142552200574401,7,0.035997865404020807,results/receipts/B1-claude-R08/prior/verifier/judge-result.json
B1-claude-R08,B1,Opus 5,R007,0.3333333333333333,25,0.083333333333333325,results/receipts/B1-claude-R08/prior/verifier/judge-result.json
B1-claude-R08,B1,Opus 5,R008,1.0,10,0.1,results/receipts/B1-claude-R08/prior/verifier/judge-result.json
B1-claude-R06,B1,Opus 5,R001,0.3534065403339431,10,0.03534065403339431,results/receipts/B1-claude-R06/prior/verifier/judge-result.json
B1-claude-R06,B1,Opus 5,R002,0.010460421215512114,15,0.0015690631823268171,results/receipts/B1-claude-R06/prior/verifier/judge-result.json
B1-claude-R06,B1,Opus 5,R003,0.6828598484848485,10,0.06828598484848485,results/receipts/B1-claude-R06/prior/verifier/judge-result.json
B1-claude-R06,B1,Opus 5,R004,0.4883720930232558,15,0.07325581395348837,results/receipts/B1-claude-R06/prior/verifier/judge-result.json
B1-claude-R06,B1,Opus 5,R005,0.5,8,0.04,results/receipts/B1-claude-R06/prior/verifier/judge-result.json
B1-claude-R06,B1,Opus 5,R006,0.5146433284172941,7,0.036025032989210587,results/receipts/B1-claude-R06/prior/verifier/judge-result.json
B1-claude-R06,B1,Opus 5,R007,0.9444444444444444,25,0.2361111111111111,results/receipts/B1-claude-R06/prior/verifier/judge-result.json
B1-claude-R06,B1,Opus 5,R008,1.0,10,0.1,results/receipts/B1-claude-R06/prior/verifier/judge-result.json
A1-claude-R08,A1,Opus 5,R001,1.0,10,0.1,results/receipts/A1-claude-R08/prior/verifier/judge-result.json
A1-claude-R08,A1,Opus 5,R002,0.6742424242424242,25,0.16856060606060605,results/receipts/A1-claude-R08/prior/verifier/judge-result.json
A1-claude-R08,A1,Opus 5,R003,0.323943661971831,20,0.0647887323943662,results/receipts/A1-claude-R08/prior/verifier/judge-result.json
