task,display_system,slots,n,unscored,status_counts,mean_original_points,mean_60_points,passes_60,pass_at_1,pass_at_8,pass_k_reason,config_id,selected_judge_label,generation_outcome_kind
A1,GPT-5.6 sol,8,8,0,"{""SCORED"": 8}",90.4508224864419503,90.8409114391338393192307692307692307692307692307625,7,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,8ca5d5a4e8e6d50d,new6-a1-v1.3-proven-formula-defects,
C1,Opus 5,2,2,0,"{""SCORED"": 2}",42.42808205556549927410854563172443967146,26.10958895727107647637448961952273210551384615385,0,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,d2b93fdc116ca2eb,new6-c1-review-facts-v2.4-inline-and-bridge,
C1,Qwen 3.8,6,1,5,"{""JUDGE_ERROR"": 5, ""SCORED"": 1}",79.880861281667501074353939312188664333785,77.5855467418957197246860362322498803926984615384615384615385,1,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,,new6-c1-review-facts-v2.5-precision-views,SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION
C1,Qwen 3.8,2,0,2,"{""JUDGE_ERROR"": 2}",,,,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,,new6-c1-review-facts-v2.5-precision-views,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION
C2,GPT-5.6 sol,3,3,0,"{""SCORED"": 3}",49.9421134421134421134421134417666666666666666666666666666667,40.0576175960791345406730022116,1,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,8ca5d5a4e8e6d50d,new6-usps-facts-v2.4-natural-quote-layouts,
C2,GPT-5.6 sol,5,5,0,"{""SCORED"": 5}",95.8576423576423576423576423572,93.25505263966802428340889879289230769230769230768,4,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,8ca5d5a4e8e6d50d,release_lock:new6-offline-reader-v1,
C2,Opus 5,5,0,5,"{""JUDGE_ERROR"": 3, ""OUTPUT_MISSING"": 2}",,,,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,763cb251b6b4825d,,
C2,Opus 5,1,1,0,"{""SCORED"": 1}",64.8076923076923076923076923075,39.8816568047337278106508875738461538461538461538,0,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,763cb251b6b4825d,new6-usps-facts-v2.4-natural-quote-layouts,
C2,Opus 5,2,2,0,"{""SCORED"": 2}",62.613182948004376575805147232,47.2724482477229729976982724216153846153846153846,0,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,763cb251b6b4825d,release_lock:new6-offline-reader-v1,
C2,Qwen 3.8,4,2,2,"{""SCORED"": 2, ""JUDGE_ERROR"": 2}",67.758156129584701013272441845,69.6693548210031726515242998776923076923076923076923076923077,1,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,,new6-usps-facts-v2.4-natural-quote-layouts,SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION
C2,Qwen 3.8,4,3,1,"{""JUDGE_ERROR"": 1, ""SCORED"": 3}",83.2692307692307692307692307691,76.8836291913214990138067061143179487179487179487179487179487,2,,,Model identity/configuration and complete homogeneous Judge population not certified; scoring coverage is not formal difficulty acceptance.,,new6-usps-facts-v2.4-natural-quote-layouts,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION
