source_row_id,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
Online Retail:320725,565084,22970,LONDON BUS COFFEE MUG,36,2011-09-01 09:39:00,2.1,17306,United Kingdom
Online Retail:320726,565084,22988,SOLDIERS EGG CUP ,144,2011-09-01 09:39:00,1.06,17306,United Kingdom
Online Retail:320727,565084,22902,TOTE BAG I LOVE LONDON,50,2011-09-01 09:39:00,1.69,17306,United Kingdom
Online Retail:320728,565084,22659,LUNCH BOX I LOVE LONDON,64,2011-09-01 09:39:00,1.65,17306,United Kingdom
Online Retail:320729,565084,22616,PACK OF 12 LONDON TISSUES ,432,2011-09-01 09:39:00,0.25,17306,United Kingdom
Online Retail:320730,C565085,23079,TOADSTOOL BEDSIDE LIGHT ,-2,2011-09-01 09:40:00,8.95,12474,Germany
Online Retail:320731,565086,22625,RED KITCHEN SCALES,7,2011-09-01 09:57:00,7.5,13631,United Kingdom
Online Retail:320732,565087,23085,ANTIQUE SILVER BAUBLE LAMP  ,4,2011-09-01 10:03:00,10.4,13276,United Kingdom
Online Retail:320733,565087,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,2,2011-09-01 10:03:00,7.95,13276,United Kingdom
Online Retail:320734,565087,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,3,2011-09-01 10:03:00,4.95,13276,United Kingdom
Online Retail:320735,565087,22423,REGENCY CAKESTAND 3 TIER,1,2011-09-01 10:03:00,12.75,13276,United Kingdom
Online Retail:320736,565087,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,2,2011-09-01 10:03:00,9.95,13276,United Kingdom
Online Retail:320737,565087,37449,CERAMIC CAKE STAND + HANGING CAKES,2,2011-09-01 10:03:00,9.95,13276,United Kingdom
Online Retail:320738,565087,23084,RABBIT NIGHT LIGHT,6,2011-09-01 10:03:00,2.08,13276,United Kingdom
Online Retail:320739,565088,23293,SET OF 12 FAIRY CAKE BAKING CASES,8,2011-09-01 10:11:00,0.83,16145,United Kingdom
Online Retail:320740,565088,23296,SET OF 6 TEA TIME BAKING CASES,8,2011-09-01 10:11:00,1.25,16145,United Kingdom
Online Retail:320741,565088,23294,SET OF 6 SNACK LOAF BAKING CASES,8,2011-09-01 10:11:00,0.83,16145,United Kingdom
Online Retail:320742,565088,23295,SET OF 12 MINI LOAF BAKING CASES,8,2011-09-01 10:11:00,0.83,16145,United Kingdom
Online Retail:320743,565088,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,4,2011-09-01 10:11:00,3.75,16145,United Kingdom
Online Retail:320744,565088,16008,SMALL FOLDING SCISSOR(POINTED EDGE),24,2011-09-01 10:11:00,0.12,16145,United Kingdom
Online Retail:320745,565088,22095,LADS ONLY TISSUE BOX,36,2011-09-01 10:11:00,0.39,16145,United Kingdom
Online Retail:320746,565088,22610,PENS ASSORTED FUNNY FACE,36,2011-09-01 10:11:00,0.19,16145,United Kingdom
Online Retail:320747,565088,84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,24,2011-09-01 10:11:00,0.85,16145,United Kingdom
Online Retail:320748,565088,23187,FRENCH STYLE STORAGE JAR BONBONS,48,2011-09-01 10:11:00,0.29,16145,United Kingdom
Online Retail:320749,565088,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-09-01 10:11:00,2.95,16145,United Kingdom
Online Retail:320750,565088,23436,VINTAGE CHRISTMAS GIFT BAG LARGE ,12,2011-09-01 10:11:00,1.25,16145,United Kingdom
Online Retail:320751,565088,23437, 50'S CHRISTMAS GIFT BAG LARGE,12,2011-09-01 10:11:00,1.25,16145,United Kingdom
Online Retail:320752,565088,23354,6 GIFT TAGS 50'S CHRISTMAS ,12,2011-09-01 10:11:00,0.83,16145,United Kingdom
Online Retail:320753,565088,22077,6 RIBBONS RUSTIC CHARM,12,2011-09-01 10:11:00,1.65,16145,United Kingdom
Online Retail:320754,565088,23275,SET OF 3 HANGING OWLS OLLIE BEAK,12,2011-09-01 10:11:00,1.25,16145,United Kingdom
Online Retail:320755,565088,23298,SPOTTY BUNTING,3,2011-09-01 10:11:00,4.95,16145,United Kingdom
Online Retail:320756,565088,23313,VINTAGE CHRISTMAS BUNTING,5,2011-09-01 10:11:00,4.95,16145,United Kingdom
Online Retail:320757,565088,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-09-01 10:11:00,4.95,16145,United Kingdom
Online Retail:320758,565088,22196,SMALL HEART MEASURING SPOONS,12,2011-09-01 10:11:00,0.85,16145,United Kingdom
Online Retail:320759,565088,21231,SWEETHEART CERAMIC TRINKET BOX,12,2011-09-01 10:11:00,1.25,16145,United Kingdom
Online Retail:320760,565088,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2011-09-01 10:11:00,1.25,16145,United Kingdom
Online Retail:320761,565088,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,6,2011-09-01 10:11:00,2.95,16145,United Kingdom
Online Retail:320762,565088,22907,PACK OF 20 NAPKINS PANTRY DESIGN,12,2011-09-01 10:11:00,0.85,16145,United Kingdom
Online Retail:320763,C565089,22553,PLASTERS IN TIN SKULLS,-12,2011-09-01 10:27:00,1.65,12645,Germany
Online Retail:320764,565090,72741,GRAND CHOCOLATECANDLE,18,2011-09-01 10:28:00,1.45,17572,United Kingdom
Online Retail:320765,565090,21107,CREAM SLICE FLANNEL PINK SPOT ,6,2011-09-01 10:28:00,2.95,17572,United Kingdom
Online Retail:320766,565091,23032,DRAWER KNOB CRACKLE GLAZE IVORY,24,2011-09-01 10:28:00,1.65,16011,United Kingdom
Online Retail:320767,565091,23034,DRAWER KNOB CERAMIC BLACK,12,2011-09-01 10:28:00,1.45,16011,United Kingdom
Online Retail:320768,565091,23035,DRAWER KNOB CERAMIC IVORY,12,2011-09-01 10:28:00,1.45,16011,United Kingdom
Online Retail:320769,565091,22077,6 RIBBONS RUSTIC CHARM,12,2011-09-01 10:28:00,1.65,16011,United Kingdom
Online Retail:320770,565091,85049E,SCANDINAVIAN REDS RIBBONS,12,2011-09-01 10:28:00,1.25,16011,United Kingdom
Online Retail:320771,565091,22076,6 RIBBONS EMPIRE  ,12,2011-09-01 10:28:00,1.65,16011,United Kingdom
Online Retail:320772,565091,22676,FRENCH BLUE METAL DOOR SIGN 1,10,2011-09-01 10:28:00,1.25,16011,United Kingdom
Online Retail:320773,565091,22677,FRENCH BLUE METAL DOOR SIGN 2,20,2011-09-01 10:28:00,1.25,16011,United Kingdom
Online Retail:320774,565091,22681,FRENCH BLUE METAL DOOR SIGN 6,10,2011-09-01 10:28:00,1.25,16011,United Kingdom
Online Retail:320775,565091,22685,FRENCH BLUE METAL DOOR SIGN 0,10,2011-09-01 10:28:00,1.25,16011,United Kingdom
Online Retail:320776,565091,22680,FRENCH BLUE METAL DOOR SIGN 5,10,2011-09-01 10:28:00,1.25,16011,United Kingdom
Online Retail:320777,565091,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,3,2011-09-01 10:28:00,4.95,16011,United Kingdom
Online Retail:320778,565091,22457,NATURAL SLATE HEART CHALKBOARD ,12,2011-09-01 10:28:00,2.95,16011,United Kingdom
Online Retail:320779,565091,84946,ANTIQUE SILVER T-LIGHT GLASS,12,2011-09-01 10:28:00,1.25,16011,United Kingdom
Online Retail:320780,565091,21668,RED STRIPE CERAMIC DRAWER KNOB,12,2011-09-01 10:28:00,1.25,16011,United Kingdom
Online Retail:320781,565091,21670,BLUE SPOT CERAMIC DRAWER KNOB,12,2011-09-01 10:28:00,1.25,16011,United Kingdom
Online Retail:320782,565092,23293,SET OF 12 FAIRY CAKE BAKING CASES,16,2011-09-01 10:36:00,0.83,14092,United Kingdom
Online Retail:320783,565092,23296,SET OF 6 TEA TIME BAKING CASES,8,2011-09-01 10:36:00,1.25,14092,United Kingdom
Online Retail:320784,565092,23084,RABBIT NIGHT LIGHT,18,2011-09-01 10:36:00,2.08,14092,United Kingdom
Online Retail:320785,565092,22966,GINGERBREAD MAN COOKIE CUTTER,12,2011-09-01 10:36:00,1.25,14092,United Kingdom
Online Retail:320786,565092,84380,SET OF 3 BUTTERFLY COOKIE CUTTERS,12,2011-09-01 10:36:00,1.25,14092,United Kingdom
Online Retail:320787,565092,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2011-09-01 10:36:00,2.95,14092,United Kingdom
Online Retail:320788,565092,84978,HANGING HEART JAR T-LIGHT HOLDER,12,2011-09-01 10:36:00,1.25,14092,United Kingdom
Online Retail:320789,565092,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2011-09-01 10:36:00,0.55,14092,United Kingdom
Online Retail:320790,565092,22956,36 FOIL HEART CAKE CASES,6,2011-09-01 10:36:00,2.1,14092,United Kingdom
Online Retail:320791,565092,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,24,2011-09-01 10:36:00,0.55,14092,United Kingdom
Online Retail:320792,565092,23438, RED SPOT GIFT BAG LARGE,12,2011-09-01 10:36:00,1.25,14092,United Kingdom
Online Retail:320793,565092,21314,SMALL GLASS HEART TRINKET POT,8,2011-09-01 10:36:00,2.1,14092,United Kingdom
Online Retail:320794,565092,22197,POPCORN HOLDER,12,2011-09-01 10:36:00,0.85,14092,United Kingdom
Online Retail:320795,565092,22993,SET OF 4 PANTRY JELLY MOULDS,12,2011-09-01 10:36:00,1.25,14092,United Kingdom
Online Retail:320796,565092,22963,JAM JAR WITH GREEN LID,12,2011-09-01 10:36:00,0.85,14092,United Kingdom
Online Retail:320797,565092,23245,SET OF 3 REGENCY CAKE TINS,4,2011-09-01 10:36:00,4.95,14092,United Kingdom
Online Retail:320798,565092,22379,RECYCLING BAG RETROSPOT ,5,2011-09-01 10:36:00,2.1,14092,United Kingdom
Online Retail:320799,565092,21121,SET/10 RED POLKADOT PARTY CANDLES,24,2011-09-01 10:36:00,1.25,14092,United Kingdom
Online Retail:320800,565093,23012,GLASS APOTHECARY BOTTLE PERFUME,12,2011-09-01 10:38:00,3.45,13408,United Kingdom
Online Retail:320801,565093,23013,GLASS APOTHECARY BOTTLE TONIC,12,2011-09-01 10:38:00,3.45,13408,United Kingdom
Online Retail:320802,565093,23014,GLASS APOTHECARY BOTTLE ELIXIR,12,2011-09-01 10:38:00,3.45,13408,United Kingdom
Online Retail:320803,565093,22147,FELTCRAFT BUTTERFLY HEARTS,40,2011-09-01 10:38:00,1.25,13408,United Kingdom
Online Retail:320804,565093,22423,REGENCY CAKESTAND 3 TIER,16,2011-09-01 10:38:00,10.95,13408,United Kingdom
Online Retail:320805,565093,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,144,2011-09-01 10:38:00,0.55,13408,United Kingdom
Online Retail:320806,565114,21789,KIDS RAIN MAC PINK,24,2011-09-01 11:15:00,0.85,13588,United Kingdom
Online Retail:320807,565114,22492,MINI PAINT SET VINTAGE ,36,2011-09-01 11:15:00,0.65,13588,United Kingdom
Online Retail:320808,565114,22493,PAINT YOUR OWN CANVAS SET,12,2011-09-01 11:15:00,1.65,13588,United Kingdom
Online Retail:320809,565114,22536,MAGIC DRAWING SLATE PURDEY,24,2011-09-01 11:15:00,0.42,13588,United Kingdom
Online Retail:320810,565114,22535,MAGIC DRAWING SLATE BUNNIES ,24,2011-09-01 11:15:00,0.42,13588,United Kingdom
Online Retail:320811,565114,22545,MINI JIGSAW BUNNIES,24,2011-09-01 11:15:00,0.42,13588,United Kingdom
Online Retail:320812,565114,22546,MINI JIGSAW PURDEY,24,2011-09-01 11:15:00,0.42,13588,United Kingdom
Online Retail:320813,565114,23311,VINTAGE CHRISTMAS STOCKING ,6,2011-09-01 11:15:00,2.55,13588,United Kingdom
Online Retail:320814,565114,22210,WOOD STAMP SET BEST WISHES,12,2011-09-01 11:15:00,0.83,13588,United Kingdom
Online Retail:320815,565114,22208,WOOD STAMP SET THANK YOU,12,2011-09-01 11:15:00,0.83,13588,United Kingdom
Online Retail:320816,565114,22209,WOOD STAMP SET HAPPY BIRTHDAY,12,2011-09-01 11:15:00,0.83,13588,United Kingdom
Online Retail:320817,565114,16011,ANIMAL STICKERS,24,2011-09-01 11:15:00,0.21,13588,United Kingdom
Online Retail:320818,565114,51014L,"FEATHER PEN,LIGHT PINK",24,2011-09-01 11:15:00,0.39,13588,United Kingdom
Online Retail:320819,565114,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,96,2011-09-01 11:15:00,0.29,13588,United Kingdom
Online Retail:320820,565114,23445,ICE CREAM BUBBLES,20,2011-09-01 11:15:00,0.83,13588,United Kingdom
Online Retail:320821,565114,21830,ASSORTED CREEPY CRAWLIES,24,2011-09-01 11:15:00,0.42,13588,United Kingdom
Online Retail:320822,565114,22619,SET OF 6 SOLDIER SKITTLES,8,2011-09-01 11:15:00,3.75,13588,United Kingdom
Online Retail:320823,565114,23355,HOT WATER BOTTLE KEEP CALM,4,2011-09-01 11:15:00,4.95,13588,United Kingdom
Online Retail:320824,565114,15034,PAPER POCKET TRAVELING FAN ,24,2011-09-01 11:15:00,0.14,13588,United Kingdom
Online Retail:320825,565114,22567,20 DOLLY PEGS RETROSPOT,24,2011-09-01 11:15:00,1.45,13588,United Kingdom
Online Retail:320826,565114,22998,TRAVEL CARD WALLET KEEP CALM,24,2011-09-01 11:15:00,0.42,13588,United Kingdom
Online Retail:320827,565114,22093,MOTORING TISSUE BOX,36,2011-09-01 11:15:00,0.39,13588,United Kingdom
Online Retail:320828,565114,22410,MONEY BOX HOUSEKEEPING DESIGN,12,2011-09-01 11:15:00,1.25,13588,United Kingdom
Online Retail:320829,565115,23018,LARGE APOTHECARY MEASURING JAR ,1,2011-09-01 11:22:00,12.5,16880,United Kingdom
Online Retail:320830,565115,48138,DOORMAT UNION FLAG,3,2011-09-01 11:22:00,8.25,16880,United Kingdom
Online Retail:320831,565115,20685,DOORMAT RED RETROSPOT,1,2011-09-01 11:22:00,8.25,16880,United Kingdom
Online Retail:320832,565115,21955,DOORMAT UNION JACK GUNS AND ROSES,1,2011-09-01 11:22:00,8.25,16880,United Kingdom
Online Retail:320833,565115,22690,DOORMAT HOME SWEET HOME BLUE ,1,2011-09-01 11:22:00,8.25,16880,United Kingdom
Online Retail:320834,565115,48129,DOORMAT TOPIARY,1,2011-09-01 11:22:00,8.25,16880,United Kingdom
Online Retail:320835,565115,22687,DOORMAT CHRISTMAS VILLAGE,3,2011-09-01 11:22:00,8.25,16880,United Kingdom
Online Retail:320836,565115,21745,GAOLERS KEYS DECORATIVE GARDEN ,1,2011-09-01 11:22:00,3.75,16880,United Kingdom
Online Retail:320837,565115,22197,POPCORN HOLDER,22,2011-09-01 11:22:00,0.85,16880,United Kingdom
Online Retail:320838,565115,22412,METAL SIGN NEIGHBOURHOOD WITCH ,6,2011-09-01 11:22:00,2.1,16880,United Kingdom
Online Retail:320839,565115,21172,PARTY METAL SIGN ,5,2011-09-01 11:22:00,1.45,16880,United Kingdom
Online Retail:320840,565115,22481,BLACK TEA TOWEL CLASSIC DESIGN,1,2011-09-01 11:22:00,1.25,16880,United Kingdom
Online Retail:320841,565115,82552,WASHROOM METAL SIGN,3,2011-09-01 11:22:00,1.45,16880,United Kingdom
Online Retail:320842,565115,82551,LAUNDRY 15C METAL SIGN,3,2011-09-01 11:22:00,1.45,16880,United Kingdom
Online Retail:320843,565115,21179,NO JUNK MAIL METAL SIGN,5,2011-09-01 11:22:00,0.39,16880,United Kingdom
Online Retail:320844,565115,21028,NINJA RABBIT BLACK,4,2011-09-01 11:22:00,1.25,16880,United Kingdom
Online Retail:320845,565115,21027,NINJA RABBIT PINK,9,2011-09-01 11:22:00,1.25,16880,United Kingdom
Online Retail:320846,565115,21621,VINTAGE UNION JACK BUNTING,3,2011-09-01 11:22:00,8.5,16880,United Kingdom
Online Retail:320847,565115,21830,ASSORTED CREEPY CRAWLIES,48,2011-09-01 11:22:00,0.42,16880,United Kingdom
Online Retail:320848,565115,23017,APOTHECARY MEASURING JAR,2,2011-09-01 11:22:00,12.5,16880,United Kingdom
Online Retail:320849,565115,23169,CLASSIC GLASS COOKIE JAR,1,2011-09-01 11:22:00,4.15,16880,United Kingdom
Online Retail:320850,565115,23012,GLASS APOTHECARY BOTTLE PERFUME,1,2011-09-01 11:22:00,3.95,16880,United Kingdom
Online Retail:320851,565115,23013,GLASS APOTHECARY BOTTLE TONIC,2,2011-09-01 11:22:00,3.95,16880,United Kingdom
Online Retail:320852,565116,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,40,2011-09-01 11:30:00,2.55,13089,United Kingdom
Online Retail:320853,565116,23144,ZINC T-LIGHT HOLDER STARS SMALL,24,2011-09-01 11:30:00,0.83,13089,United Kingdom
Online Retail:320854,565116,22867,HAND WARMER BIRD DESIGN,96,2011-09-01 11:30:00,1.85,13089,United Kingdom
Online Retail:320855,565116,23439,HAND WARMER RED LOVE HEART,96,2011-09-01 11:30:00,1.85,13089,United Kingdom
Online Retail:320856,565116,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,192,2011-09-01 11:30:00,0.72,13089,United Kingdom
Online Retail:320857,565116,23355,HOT WATER BOTTLE KEEP CALM,24,2011-09-01 11:30:00,4.15,13089,United Kingdom
Online Retail:320858,565116,21485,RETROSPOT HEART HOT WATER BOTTLE,24,2011-09-01 11:30:00,4.25,13089,United Kingdom
Online Retail:320859,565116,21479,WHITE SKULL HOT WATER BOTTLE ,24,2011-09-01 11:30:00,3.39,13089,United Kingdom
Online Retail:320860,565116,23356,LOVE HOT WATER BOTTLE,24,2011-09-01 11:30:00,4.95,13089,United Kingdom
Online Retail:320861,565116,22112,CHOCOLATE HOT WATER BOTTLE,24,2011-09-01 11:30:00,4.25,13089,United Kingdom
Online Retail:320862,565116,84030E,ENGLISH ROSE HOT WATER BOTTLE,24,2011-09-01 11:30:00,3.75,13089,United Kingdom
Online Retail:320863,565116,23358,HOT STUFF HOT WATER BOTTLE,36,2011-09-01 11:30:00,3.29,13089,United Kingdom
Online Retail:320864,565116,23068,ALUMINIUM STAMPED HEART,16,2011-09-01 11:30:00,2.49,13089,United Kingdom
Online Retail:320865,565116,21326,AGED GLASS SILVER T-LIGHT HOLDER,48,2011-09-01 11:30:00,0.65,13089,United Kingdom
Online Retail:320866,565116,84946,ANTIQUE SILVER T-LIGHT GLASS,24,2011-09-01 11:30:00,1.25,13089,United Kingdom
Online Retail:320867,565116,23223,CHRISTMAS TREE HANGING SILVER ,48,2011-09-01 11:30:00,0.83,13089,United Kingdom
Online Retail:320868,565116,23215,JINGLE BELL HEART ANTIQUE SILVER,24,2011-09-01 11:30:00,2.08,13089,United Kingdom
Online Retail:320869,565116,23225,CHERUB HEART DECORATION SILVER ,48,2011-09-01 11:30:00,0.83,13089,United Kingdom
Online Retail:320870,565116,22952,60 CAKE CASES VINTAGE CHRISTMAS,48,2011-09-01 11:30:00,0.55,13089,United Kingdom
Online Retail:320871,565116,23376,PACK OF 12 VINTAGE CHRISTMAS TISSUE,48,2011-09-01 11:30:00,0.39,13089,United Kingdom
Online Retail:320872,565116,22632,HAND WARMER RED RETROSPOT,96,2011-09-01 11:30:00,1.85,13089,United Kingdom
Online Retail:320873,565116,22865,HAND WARMER OWL DESIGN,96,2011-09-01 11:30:00,1.85,13089,United Kingdom
Online Retail:320874,565116,22866,HAND WARMER SCOTTY DOG DESIGN,96,2011-09-01 11:30:00,1.85,13089,United Kingdom
Online Retail:320875,565116,23320,GIANT 50'S CHRISTMAS CRACKER,12,2011-09-01 11:30:00,2.89,13089,United Kingdom
Online Retail:320876,565116,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,2011-09-01 11:30:00,6.95,13089,United Kingdom
Online Retail:320877,565116,23375,50'S CHRISTMAS PAPER GIFT BAG,30,2011-09-01 11:30:00,0.82,13089,United Kingdom
Online Retail:320878,565116,23378,PACK OF 12 50'S CHRISTMAS TISSUES,48,2011-09-01 11:30:00,0.39,13089,United Kingdom
Online Retail:320879,565117,48185,DOORMAT FAIRY CAKE,4,2011-09-01 11:33:00,7.95,13089,United Kingdom
Online Retail:320880,565117,22077,6 RIBBONS RUSTIC CHARM,12,2011-09-01 11:33:00,1.65,13089,United Kingdom
Online Retail:320881,565117,20685,DOORMAT RED RETROSPOT,4,2011-09-01 11:33:00,7.95,13089,United Kingdom
Online Retail:320882,565117,22464,HANGING METAL HEART LANTERN,12,2011-09-01 11:33:00,1.65,13089,United Kingdom
Online Retail:320883,565117,22361,GLASS JAR DAISY FRESH COTTON WOOL,6,2011-09-01 11:33:00,2.95,13089,United Kingdom
Online Retail:320884,565117,84978,HANGING HEART JAR T-LIGHT HOLDER,24,2011-09-01 11:33:00,1.25,13089,United Kingdom
Online Retail:320885,565117,82600,NO SINGING METAL SIGN,12,2011-09-01 11:33:00,2.1,13089,United Kingdom
Online Retail:320886,565117,47566,PARTY BUNTING,12,2011-09-01 11:33:00,4.95,13089,United Kingdom
Online Retail:320887,565117,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,24,2011-09-01 11:33:00,0.55,13089,United Kingdom
Online Retail:320888,565117,23296,SET OF 6 TEA TIME BAKING CASES,16,2011-09-01 11:33:00,1.25,13089,United Kingdom
Online Retail:320889,565117,23295,SET OF 12 MINI LOAF BAKING CASES,24,2011-09-01 11:33:00,0.83,13089,United Kingdom
Online Retail:320890,565117,23282,FOLDING BUTTERFLY MIRROR IVORY ,12,2011-09-01 11:33:00,0.83,13089,United Kingdom
Online Retail:320891,565117,23281,FOLDING BUTTERFLY MIRROR RED  ,12,2011-09-01 11:33:00,0.83,13089,United Kingdom
Online Retail:320892,565117,23280,FOLDING BUTTERFLY MIRROR HOT PINK ,12,2011-09-01 11:33:00,0.83,13089,United Kingdom
Online Retail:320893,565117,23245,SET OF 3 REGENCY CAKE TINS,6,2011-09-01 11:33:00,4.95,13089,United Kingdom
Online Retail:320894,565117,23240,SET OF 4 KNICK KNACK TINS DOILY ,12,2011-09-01 11:33:00,4.15,13089,United Kingdom
Online Retail:320895,565117,23206,LUNCH BAG APPLE DESIGN,12,2011-09-01 11:33:00,1.65,13089,United Kingdom
Online Retail:320896,565117,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,24,2011-09-01 11:33:00,0.83,13089,United Kingdom
Online Retail:320897,565117,23118,PARISIENNE JEWELLERY DRAWER ,6,2011-09-01 11:33:00,7.5,13089,United Kingdom
Online Retail:320898,565117,23111,PARISIENNE SEWING BOX,4,2011-09-01 11:33:00,12.5,13089,United Kingdom
Online Retail:320899,565117,23110,PARISIENNE KEY CABINET ,4,2011-09-01 11:33:00,5.75,13089,United Kingdom
Online Retail:320900,565117,23093,SMALL PARISIENNE HEART PHOTO FRAME ,8,2011-09-01 11:33:00,2.49,13089,United Kingdom
Online Retail:320901,565117,23032,DRAWER KNOB CRACKLE GLAZE IVORY,12,2011-09-01 11:33:00,1.65,13089,United Kingdom
Online Retail:320902,565117,23029,DRAWER KNOB CRACKLE GLAZE GREEN,12,2011-09-01 11:33:00,1.65,13089,United Kingdom
Online Retail:320903,565117,23028,DRAWER KNOB CRACKLE GLAZE BLUE,24,2011-09-01 11:33:00,1.65,13089,United Kingdom
Online Retail:320904,565117,23013,GLASS APOTHECARY BOTTLE TONIC,6,2011-09-01 11:33:00,3.95,13089,United Kingdom
Online Retail:320905,565117,22892,SET OF SALT AND PEPPER TOADSTOOLS,12,2011-09-01 11:33:00,1.25,13089,United Kingdom
Online Retail:320906,565117,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,24,2011-09-01 11:33:00,1.25,13089,United Kingdom
Online Retail:320907,565117,22699,ROSES REGENCY TEACUP AND SAUCER ,6,2011-09-01 11:33:00,2.95,13089,United Kingdom
Online Retail:320908,565117,22697,GREEN REGENCY TEACUP AND SAUCER,12,2011-09-01 11:33:00,2.95,13089,United Kingdom
Online Retail:320909,565117,22631,CIRCUS PARADE LUNCH BOX ,12,2011-09-01 11:33:00,1.95,13089,United Kingdom
Online Retail:320910,565117,22558,CLOTHES PEGS RETROSPOT PACK 24 ,24,2011-09-01 11:33:00,1.65,13089,United Kingdom
Online Retail:320911,565117,22467,GUMBALL COAT RACK,6,2011-09-01 11:33:00,2.55,13089,United Kingdom
Online Retail:320912,565117,22360,GLASS JAR ENGLISH CONFECTIONERY,6,2011-09-01 11:33:00,2.95,13089,United Kingdom
Online Retail:320913,565117,22169,FAMILY ALBUM WHITE PICTURE FRAME,6,2011-09-01 11:33:00,8.5,13089,United Kingdom
Online Retail:320914,565117,22083,PAPER CHAIN KIT RETROSPOT,12,2011-09-01 11:33:00,2.95,13089,United Kingdom
Online Retail:320915,565117,21955,DOORMAT UNION JACK GUNS AND ROSES,4,2011-09-01 11:33:00,7.95,13089,United Kingdom
Online Retail:320916,565117,21754,HOME BUILDING BLOCK WORD,4,2011-09-01 11:33:00,5.95,13089,United Kingdom
Online Retail:320917,565117,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,12,2011-09-01 11:33:00,1.25,13089,United Kingdom
Online Retail:320918,565117,21671,RED SPOT CERAMIC DRAWER KNOB,12,2011-09-01 11:33:00,1.25,13089,United Kingdom
Online Retail:320919,565117,21670,BLUE SPOT CERAMIC DRAWER KNOB,12,2011-09-01 11:33:00,1.25,13089,United Kingdom
Online Retail:320920,565117,15056N,EDWARDIAN PARASOL NATURAL,6,2011-09-01 11:33:00,5.95,13089,United Kingdom
