case,task,task_version,system,trial_id,config_id,requested_model,observed_model_ids,model_identity_status,judge_version,judge_source_commit,answer_sha256,status,score_60,pass_60
B2-claude-R06,B2,new6-b2-three-release-v3,claude,N6V3-B2-CLAUDE-R06__kv9xD4w,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-b2-offline-v3.3-chart-roles,34374f08f331e7184010c40b401f1630a49df394,4e5a997adf86fc49b36f0743b27c6e00e382ef7b1289a29cd46ae2baf17c2938,JUDGE_ERROR,,
B2-claude-R07,B2,new6-b2-three-release-v3,claude,N6V3-B2-CLAUDE-R07__pPAotRG,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-b2-offline-v3.3-chart-roles,34374f08f331e7184010c40b401f1630a49df394,48313c50d2a6292abdaf1ce608ff428aa3368370f48a2174c45bc26f6643c42a,SCORED,0.5615858585858586,False
B2-claude-R08,B2,new6-b2-three-release-v3,claude,N6V3-B2-CLAUDE-R08__faPc3Zy,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-b2-offline-v3.3-chart-roles,34374f08f331e7184010c40b401f1630a49df394,b7948bea0c64d5e497e26776383b69050739b4c644704be9a4ced1a7827dc84d,JUDGE_ERROR,,
B2-codex-R01,B2,new6-b2-three-release-v3,codex,N6V3-B2-CODEX-R01__cXmwPuW,d8e0d8176c6e,gpt-5.6-sol,,REQUESTED_ONLY,new6-b2-offline-v3.3-chart-roles,34374f08f331e7184010c40b401f1630a49df394,8702b452adb46b3dfe5a191528d3738362f99689cb0f9c4826d4cd92591d8d3c,SCORED,0.835634920634920655,True
B2-codex-R05,B2,new6-b2-three-release-v3,codex,N6V3-B2-CODEX-R05__8BRWeXB,d8e0d8176c6e,gpt-5.6-sol,,REQUESTED_ONLY,new6-b2-offline-v3.3-chart-roles,34374f08f331e7184010c40b401f1630a49df394,261ef53e7274b92f428b2dae6fe23630b931df5ec175df4402b9d42b783a3b47,SCORED,0.876071428571428565,True
B2-codex-R06,B2,new6-b2-three-release-v3,codex,N6V3-B2-CODEX-R06__qRTJBkD,d8e0d8176c6e,gpt-5.6-sol,,REQUESTED_ONLY,new6-b2-offline-v3.3-chart-roles,34374f08f331e7184010c40b401f1630a49df394,a19558813523e02c6ab92a93b6edaade6be8edee7adae7bc59dc91d37f5c5815,SCORED,0.897222222222222232,True
B2-codex-R07,B2,new6-b2-three-release-v3,codex,N6V3-B2-CODEX-R07__ifCHHo3,d8e0d8176c6e,gpt-5.6-sol,,REQUESTED_ONLY,new6-b2-offline-v3.3-chart-roles,34374f08f331e7184010c40b401f1630a49df394,3e4f00a1867f3640116b13044116e2afb8ca92638dd4299a811aaf321ba54dab,SCORED,0.950079365079365075,True
B2-codex-R08,B2,new6-b2-three-release-v3,codex,N6V3-B2-CODEX-R08__LBsp2Nj,d8e0d8176c6e,gpt-5.6-sol,,REQUESTED_ONLY,new6-b2-offline-v3.3-chart-roles,34374f08f331e7184010c40b401f1630a49df394,c441f555db4632af4d6fbc1e30ba55635fc37387f01a81cc2bd50e3751893b9b,SCORED,0.925099206349206365,True
C1-claude-R01,C1,new6-c1-revision-v2,claude,N6C1V2-CLAUDE-R01__LagTKLH,7595ef810cea,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,4cb96a55f8dba27b0c5aec5bf47df163a9bbce20bf9387123c7e179e822f1dd7,JUDGE_ERROR,,
C1-claude-R04,C1,new6-c1-revision-v2,claude,N6C1V2-CLAUDE-R04__CcqQaVg,7595ef810cea,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,4c7cab8229fec27c4d1aeec1f3dd4901ec84d038b75d1b19ee199fc3872f0023,JUDGE_ERROR,,
C1-claude-R05,C1,new6-c1-revision-v2,claude,N6C1V2-CLAUDE-R05__4NsMcUv,7595ef810cea,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,1834e8dc34230b5e181e7ba6639a8496bdf50b69b2570bd4d2da359bb0087272,JUDGE_ERROR,,
C1-claude-R06,C1,new6-c1-revision-v2,claude,N6C1V2-CLAUDE-R06__YYepKHx,7595ef810cea,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,d2078d38aa22981dd3c1b750f7ace3b5f312c3d5ed44558c5f9e0c2eb924de30,JUDGE_ERROR,,
C1-claude-R07,C1,new6-c1-revision-v2,claude,N6C1V2-CLAUDE-R07__JKEFgNr,7595ef810cea,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,a540033d0ea690dcba4e1328089b353f2d0ec758eb0394b151b2902b5b872ea6,JUDGE_ERROR,,
C1-codex-R01,C1,new6-c1-revision-v2,codex,N6C1V2-CODEX-R01__acnPqWB,d8e0d8176c6e,gpt-5.6-sol,,REQUESTED_ONLY,new6-c1-offline-v2.5-control-views,34374f08f331e7184010c40b401f1630a49df394,11bfca78c5f8b5a154fcb2530a3cc927a55f3fe4a10067abc9870e12aa5c2206,SCORED,0.855672410639298056516599562957178851218593406593,True
C1-codex-R02,C1,new6-c1-revision-v2,codex,N6C1V2-CODEX-R02__dJ3QSJi,d8e0d8176c6e,gpt-5.6-sol,,REQUESTED_ONLY,new6-c1-offline-v2.5-control-views,34374f08f331e7184010c40b401f1630a49df394,a50281ab152ad8bfef89ef1d4edaa10407a6a1dfcd10a4e40bf4595f0edd4c40,SCORED,0.885534646951289623331086043438476493472175604396,True
C1-codex-R03,C1,new6-c1-revision-v2,codex,N6C1V2-CODEX-R03__ukUzW8M,d8e0d8176c6e,gpt-5.6-sol,,REQUESTED_ONLY,new6-c1-offline-v2.5-control-views,34374f08f331e7184010c40b401f1630a49df394,63af0d6488b6a2191e3cbc8779056d1b1ad1b712c57ac6eaf50143ae6f9a8a9b,SCORED,0.907613153222136809813170308419372628989692527473,True
C1-codex-R04,C1,new6-c1-revision-v2,codex,N6C1V2-CODEX-R04__UfZoFwd,d8e0d8176c6e,gpt-5.6-sol,,REQUESTED_ONLY,new6-c1-offline-v2.5-control-views,34374f08f331e7184010c40b401f1630a49df394,cb568eb7652ae20ee5c321b3b818e92168760dc2ceed6b69cbd389e24ab90718,SCORED,0.792030865454418578518780073631786848026434505495,True
C1-codex-R05,C1,new6-c1-revision-v2,codex,N6C1V2-CODEX-R05__SATdX2u,d8e0d8176c6e,gpt-5.6-sol,,REQUESTED_ONLY,new6-c1-offline-v2.5-control-views,34374f08f331e7184010c40b401f1630a49df394,d5ab665eee20bbd246b39700f9c2fc5d2e4231f03409f1127512850c63d6e785,SCORED,0.886257540562176323765727739237673012507447472527,True
C1-codex-R06,C1,new6-c1-revision-v2,codex,N6C1V2-CODEX-R06__mPDxW4N,d8e0d8176c6e,gpt-5.6-sol,,REQUESTED_ONLY,new6-c1-offline-v2.5-control-views,34374f08f331e7184010c40b401f1630a49df394,b4dafcb6c2ddcd8505aed2eb987656387c97ff9007a0808344b7542c00a3295e,SCORED,0.986284486946738602367741440589122708328005714286,True
C1-codex-R07,C1,new6-c1-revision-v2,codex,N6C1V2-CODEX-R07__zaagV2s,d8e0d8176c6e,gpt-5.6-sol,,REQUESTED_ONLY,new6-c1-offline-v2.5-control-views,34374f08f331e7184010c40b401f1630a49df394,96c5754f3d12d77269226e510bf8727dfd5136c50855764479a71bab6ee81f44,SCORED,0.903040220921015623002377969265386483929525714286,True
C1-codex-R08,C1,new6-c1-revision-v2,codex,N6C1V2-CODEX-R08__MEkom2h,d8e0d8176c6e,gpt-5.6-sol,,REQUESTED_ONLY,new6-c1-offline-v2.5-control-views,34374f08f331e7184010c40b401f1630a49df394,b096c904c8a8343d40400d48278272afde5c6bda6f8c44aeb478cf08c64def8e,SCORED,0.913015803082028247591161498446266658187178901099,True
C2-claude-R01,C2,new6-c2-natural-v2,claude,NEW6-C-PARCEL-TARIFF-001-CLAUDE__4SQvB5E,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,88a234bfa5096a487fd66b5682d89c7c38508b2339f5b24873869e852cf3e52d,JUDGE_ERROR,,
C2-claude-R02,C2,new6-c2-natural-v2,claude,NEW6-C-PARCEL-TARIFF-001-CLAUDE__hTbK4kn,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,e3c3e70535bdf0a2909777b45b11f74da403a1bcbbfe03f98945aa430a0a3875,SCORED,0.592869035726178583321440464282424242424242424242,False
C2-claude-R03,C2,new6-c2-natural-v2,claude,NEW6-C-PARCEL-TARIFF-001-CLAUDE__VK5B9MC,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,d8b22414378d36581fa3cc61255b7da7d3f29a3b3fd62a1241b0850276e0800b,JUDGE_ERROR,,
C2-claude-R05,C2,new6-c2-natural-v2,claude,NEW6-C-PARCEL-TARIFF-001-CLAUDE__kvS2xLs,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,3c7f9b7cdb128eab2ae24659d5f6a6512fbe54333f6a9f6aabfb1055f11a873e,JUDGE_ERROR,,
C2-claude-R06,C2,new6-c2-natural-v2,claude,NEW6-C-PARCEL-TARIFF-001-CLAUDE__ADaM4ZC,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,72a562445127c85bea8ba5237cdc04a9e11fb45f7a899c4f921adb9e8ecee61f,SCORED,0.525009514295228580942866657131515151515151515152,False
C2-claude-R08,C2,new6-c2-natural-v2,claude,NEW6-C-PARCEL-TARIFF-001-CLAUDE__ym4Nucw,638cc5460598,claude-opus-5,claude-opus-5,RESPONSE_MODEL_RECORDED,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,ed1d582681a5163f1e202e06fbd332f4c66f9338f1198543d3dc13edda244c33,SCORED,0.530769230769230769230769230766666666666666666667,False
C2-codex-R01,C2,new6-c2-natural-v2,codex,NEW6-C-PARCEL-TARIFF-001-CODEX-R__Sdo36Gk,ab813a092965,gpt-5.6-sol,,REQUESTED_ONLY,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,ed294111b5cac85e6da46a3a298bdaa6b808eff5fea521991adb9b3b7d55ed60,SCORED,1,True
C2-codex-R03,C2,new6-c2-natural-v2,codex,NEW6-C-PARCEL-TARIFF-001-CODEX-R__4GZxGZB,ab813a092965,gpt-5.6-sol,,REQUESTED_ONLY,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,72695a14e39c930577bd14ac934e618dfc14815ab8ff1e6257c422a0da5de977,SCORED,0.997435897435897435897435897433333333333333333333,True
C2-codex-R04,C2,new6-c2-natural-v2,codex,NEW6-C-PARCEL-TARIFF-001-CODEX-R__ousdxdq,ab813a092965,gpt-5.6-sol,,REQUESTED_ONLY,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,1430c5e1ecbae182bbccda1780332055d6e6bb29a429da3bfab5189ad16bfd58,SCORED,1,True
C2-codex-R05,C2,new6-c2-natural-v2,codex,NEW6-C-PARCEL-TARIFF-001-CODEX-R__xYoGq7T,ab813a092965,gpt-5.6-sol,,REQUESTED_ONLY,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,ef02ca99293fc095a7c1a775e9e006f660aaa01394da81e4a5fcb3abfcc9ff1c,SCORED,1,True
C2-codex-R06,C2,new6-c2-natural-v2,codex,NEW6-C-PARCEL-TARIFF-001-CODEX-R__PPAba2S,ab813a092965,gpt-5.6-sol,,REQUESTED_ONLY,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,3f88f58d951a74327e121708e0045e42b18b6d986a205c7328cafddd4d584619,SCORED,0.735064935064935064935064935040606060606060606061,True
C2-qwen-R05,C2,new6-c2-natural-v2,qwen,NEW6-C-PARCEL-TARIFF-001-QWEN-R0__VRwZ5X2,2a1351dd898f,openai/qwen3.8-max,,PROVIDER_MODEL_IDENTITY_PENDING,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,e0f017b34058a27b47c9fd0d393109d901125baedd7ca2c3ff5f9971e4980d99,SCORED,0.437529137529137529137529137526060606060606060606,False
C2-qwen-R06,C2,new6-c2-natural-v2,qwen,NEW6-C-PARCEL-TARIFF-001-QWEN-R0__kfEkG6y,2a1351dd898f,openai/qwen3.8-max,,PROVIDER_MODEL_IDENTITY_PENDING,new6-offline-reader-v1; receipt has no individual version label,34374f08f331e7184010c40b401f1630a49df394,9b61bb7b40d0f9e705a352502cc110dcdd44b7f6e865b3fe6079a70437af0b68,SCORED,0.447785547785547785547785547786060606060606060606,False
