task,id,description,method,deterministic_weight_percent,llm_weight_percent,dimension,implementation,original_weight_percent,current_weight_percent,input_assistance,group
B1,R007,九至十月五项贡献、两端净額与闭合事实,deterministic_program,42.8571428571428571428571428571428571428571428571,0,data_accuracy,tasks/44/NEW6-B-RETAIL-CLOSE-001/tests/new6/tasks/NEW6-B-RETAIL-CLOSE-001/tests/evaluate.py,25,42.8571428571428571428571428571428571428571428571,programmatic reader,focus
B1,R008,SKU两月数量、销售额、群组和贡献可追溯,deterministic_program,17.1428571428571428571428571428571428571428571429,0,data_accuracy,tasks/44/NEW6-B-RETAIL-CLOSE-001/tests/new6/tasks/NEW6-B-RETAIL-CLOSE-001/tests/evaluate.py,10,17.1428571428571428571428571428571428571428571429,programmatic reader,focus
B2,R001,三期来源、实际期间、地区范围、指标定义及资料不足原因,deterministic_program,9.23076923076923076923076923076923076923076923077,0,data_accuracy,tasks/92/NEW6-B-LABOUR-BRIEF-001/tests/new6/tasks/NEW6-B-LABOUR-BRIEF-001/tests/evaluate.py,15,9.23076923076923076923076923076923076923076923077,programmatic reader,other
B2,R002,连续恶化名单完整、无重复且排序符合公开业务口径,deterministic_program,15.3846153846153846153846153846153846153846153846,0,data_accuracy,tasks/92/NEW6-B-LABOUR-BRIEF-001/tests/new6/tasks/NEW6-B-LABOUR-BRIEF-001/tests/evaluate.py,25,15.3846153846153846153846153846153846153846153846,programmatic reader,other
B2,R003,当前名单和退出地区的支撑数据及候选其他显示数字正确,deterministic_program,15.3846153846153846153846153846153846153846153846,0,data_accuracy,tasks/92/NEW6-B-LABOUR-BRIEF-001/tests/new6/tasks/NEW6-B-LABOUR-BRIEF-001/tests/evaluate.py,25,15.3846153846153846153846153846153846153846153846,programmatic reader,other
B2,R004,新旧名单变化有理由，当前图表和简报与当前事实一致,deterministic_program,34.2857142857142857142857142857142857142857142857,0,data_accuracy,tasks/92/NEW6-B-LABOUR-BRIEF-001/tests/new6/tasks/NEW6-B-LABOUR-BRIEF-001/tests/evaluate.py,20,34.2857142857142857142857142857142857142857142857,programmatic reader,focus
B2,R005,旧分析仍可复核，原发布资料保留并可追溯,deterministic_program,25.7142857142857142857142857142857142857142857143,0,consistency_and_file_operations,tasks/92/NEW6-B-LABOUR-BRIEF-001/tests/new6/tasks/NEW6-B-LABOUR-BRIEF-001/tests/evaluate.py,15,25.7142857142857142857142857142857142857142857143,programmatic reader,focus
C1,R001,原印刷数据、原范围与限制保留,deterministic_program,9.23076923076923076923076923076923076923076923077,0,data_accuracy,tasks/23/NEW6-C-COST-WORKPAPER-001/tests/new6/tasks/NEW6-C-COST-WORKPAPER-001/tests/evaluate.py,15,9.23076923076923076923076923076923076923076923077,programmatic reader,other
C1,R002,有效报价版本、替换关系和待决选项判断,deterministic_program,12.3076923076923076923076923076923076923076923077,0,data_accuracy,tasks/23/NEW6-C-COST-WORKPAPER-001/tests/new6/tasks/NEW6-C-COST-WORKPAPER-001/tests/evaluate.py,20,12.3076923076923076923076923076923076923076923077,programmatic reader,other
C1,R003,当前成本链、费用基数与费率正确,deterministic_program,9.23076923076923076923076923076923076923076923077,0,data_accuracy,tasks/23/NEW6-C-COST-WORKPAPER-001/tests/new6/tasks/NEW6-C-COST-WORKPAPER-001/tests/evaluate.py,15,9.23076923076923076923076923076923076923076923077,programmatic reader,other
C1,R004,可核对的新旧成本差额与比较基准,deterministic_program,6.15384615384615384615384615384615384615384615385,0,data_accuracy,tasks/23/NEW6-C-COST-WORKPAPER-001/tests/new6/tasks/NEW6-C-COST-WORKPAPER-001/tests/evaluate.py,10,6.15384615384615384615384615384615384615384615385,programmatic reader,other
C1,R005,公开价格费率变化后成本链、核对及保护实际响应,deterministic_program,60,0,consistency_and_file_operations,tasks/23/NEW6-C-COST-WORKPAPER-001/tests/new6/tasks/NEW6-C-COST-WORKPAPER-001/tests/evaluate.py,35,60,programmatic reader,focus
C1,R006,原估算与审阅对应材料可追溯,deterministic_program,3.07692307692307692307692307692307692307692307692,0,consistency_and_file_operations,tasks/23/NEW6-C-COST-WORKPAPER-001/tests/new6/tasks/NEW6-C-COST-WORKPAPER-001/tests/evaluate.py,5,3.07692307692307692307692307692307692307692307692,programmatic reader,other
C2,R001,完整的服务/重量/区域价格网格正确,deterministic_program,21.5384615384615384615384615384615384615384615385,0,data_accuracy,tasks/49/NEW6-C-PARCEL-TARIFF-001/tests/new6/tasks/NEW6-C-PARCEL-TARIFF-001/tests/evaluate.py,35,21.5384615384615384615384615384615384615384615385,programmatic reader,other
C2,R002,版本、单位和重量边界身份正确,deterministic_program,6.15384615384615384615384615384615384615384615385,0,data_accuracy,tasks/49/NEW6-C-PARCEL-TARIFF-001/tests/new6/tasks/NEW6-C-PARCEL-TARIFF-001/tests/evaluate.py,10,6.15384615384615384615384615384615384615384615385,programmatic reader,other
C2,R003,每条请求实际两产品价及选项总额正确,deterministic_program,6.15384615384615384615384615384615384615384615385,0,data_accuracy,tasks/49/NEW6-C-PARCEL-TARIFF-001/tests/new6/tasks/NEW6-C-PARCEL-TARIFF-001/tests/evaluate.py,10,6.15384615384615384615384615384615384615384615385,programmatic reader,other
C2,R004,声明输入变化后实际应变化的报价和总额正确响应,deterministic_program,60,0,data_accuracy,tasks/49/NEW6-C-PARCEL-TARIFF-001/tests/new6/tasks/NEW6-C-PARCEL-TARIFF-001/tests/evaluate.py,35,60,programmatic reader,focus
C2,R005,请求范围、原始资费及应保持不变的输出得到保护,deterministic_program,3.07692307692307692307692307692307692307692307692,0,consistency_and_file_operations,tasks/49/NEW6-C-PARCEL-TARIFF-001/tests/new6/tasks/NEW6-C-PARCEL-TARIFF-001/tests/evaluate.py,5,3.07692307692307692307692307692307692307692307692,programmatic reader,other
C2,R006,价目表和请求与原PDF来源可追溯,deterministic_program,3.07692307692307692307692307692307692307692307692,0,consistency_and_file_operations,tasks/49/NEW6-C-PARCEL-TARIFF-001/tests/new6/tasks/NEW6-C-PARCEL-TARIFF-001/tests/evaluate.py,5,3.07692307692307692307692307692307692307692307692,programmatic reader,other
