case,task,task_version,system,display_system,trial_id,answer_sha256,config_id,requested_model,observed_model_ids,source_priority,current_status,current_judge_label,status,selected_judge_label,selected_judge_commit,code_identity,fallback_relation,criterion_scores,original_points,focus50_points,focus60_points,focus70_points,passing_original,passing50,passing60,passing70,receipt,previous_snapshot_record,technical_reason,generation_outcome_kind,upstream_exception_type,input_source_kind,terminal_finished_at,difficulty_sample_certified
A2-qwen-R03,A2,new6-a2-v1.0-zambia,qwen,Qwen 3.8,N6GPAR-A2-QWEN-R03__k8EFXu3,,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,FINAL_OUTPUT_NOT_COLLECTED,,FINAL_OUTPUT_NOT_COLLECTED,,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,,,,,,,,,,,,No collected final workbook in this selected slot; no numeric score assigned.,NO_COLLECTED_FINAL,,,,False
A2-qwen-R04,A2,new6-a2-v1.0-zambia,qwen,Qwen 3.8,NEW6-A-MACRO-SCENARIO-001-QWEN-R__PFoKc4n,7f34425e01acb47529a65031d4ef87956ba93b0aac73383890977e49e8481bf5,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,JUDGE_ERROR,new6-a2-facts-v1.3-real-gdp-labels,JUDGE_ERROR,new6-a2-facts-v1.3-real-gdp-labels,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,,,,,,,,,,receipts/A2-qwen-R04.json,,Material candidate result table exists but cannot be safely bound: Scenario_Comparison,SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION,AgentTimeoutError,POSTRUN_COLLECTED_APP_INPUT,2026-09-05T18:49:20.952738Z,False
A2-qwen-R05,A2,new6-a2-v1.0-zambia,qwen,Qwen 3.8,N6GPAR-A2-QWEN-R05__ejRrXmT,,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,FINAL_OUTPUT_NOT_COLLECTED,,FINAL_OUTPUT_NOT_COLLECTED,,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,,,,,,,,,,,,No collected final workbook in this selected slot; no numeric score assigned.,NO_COLLECTED_FINAL,,,,False
A2-qwen-R06,A2,new6-a2-v1.0-zambia,qwen,Qwen 3.8,N6GPAR-A2-QWEN-R06__7bnu9Mz,c7e387a7641238e72f9fb7cb6827bd8ae0f97f017258961cf3c7d86c25e8d695,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,JUDGE_ERROR,new6-a2-facts-v1.3-real-gdp-labels,JUDGE_ERROR,new6-a2-facts-v1.3-real-gdp-labels,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,,,,,,,,,,receipts/A2-qwen-R06.json,,Material candidate result table exists but cannot be safely bound: Comparison,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T10:10:02.048959Z,False
A2-qwen-R07,A2,new6-a2-v1.0-zambia,qwen,Qwen 3.8,N6GPAR-A2-QWEN-R07__a9vc5Xi,,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,FINAL_OUTPUT_NOT_COLLECTED,,FINAL_OUTPUT_NOT_COLLECTED,,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,,,,,,,,,,,,No collected final workbook in this selected slot; no numeric score assigned.,NO_COLLECTED_FINAL,,,,False
A2-qwen-R08,A2,new6-a2-v1.0-zambia,qwen,Qwen 3.8,N6GPAR-A2-QWEN-R08__bSGFNs4,a879f55e000fda2f52a793f4445c587040803fabb4bd8b35be8a9f52ded8e57e,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,SCORED,new6-a2-facts-v1.3-real-gdp-labels,SCORED,new6-a2-facts-v1.3-real-gdp-labels,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,"{""R001"": ""1"", ""R002"": ""0.5"", ""R003"": ""1"", ""R004"": ""0.7518248175182481751824817518248175182482"", ""R005"": ""1"", ""R006"": ""0.7894736842105263157894736842105263157895""}",76.4838647714175950825970034575489819439115,75.9958461390703034959661928543987706492521875,75.83317326162120630042258932001536688436575,75.6705003841721091048789857856319631194793125,True,True,True,True,receipts/A2-qwen-R08.json,,,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T10:24:19.901722Z,False
B1-qwen-R01,B1,new6-b1-v2,qwen,Qwen 3.8,N6GRAMMAR-B1-QWEN-R01__SrhXusU,5eff0fe8b24c3706e2663c627fd78997f1be5c77df924b5760dccd3935835dd5,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,JUDGE_ERROR,new6-b1-reader-v2.6-precision-labelled-register,JUDGE_ERROR,new6-b1-reader-v2.6-precision-labelled-register,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,,,,,,,,,,receipts/B1-qwen-R01.json,,Repeated required header roles require explicit disambiguation: ['class'],SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION,UnknownApiError,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T02:43:35.918513Z,False
B1-qwen-R02,B1,new6-b1-v2,qwen,Qwen 3.8,N6GPAR-B1-QWEN-R02__GFrXsBh,9f45ca0754ad9fb0c5cb178d24373ca717dbb9d93a009e9bdf837784e6b07884,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,SCORED,new6-b1-reader-v2.6-precision-labelled-register,SCORED,new6-b1-reader-v2.6-precision-labelled-register,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""1.0"", ""R004"": ""1.0"", ""R005"": ""1.0"", ""R006"": ""1.0"", ""R007"": ""1.0"", ""R008"": ""1.0""}",100,100,100,100,True,True,True,True,receipts/B1-qwen-R02.json,,,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T02:09:52.163696Z,False
B1-qwen-R03,B1,new6-b1-v2,qwen,Qwen 3.8,N6BUDGET-B1-QWEN-R03__fnWfwXa,a9b8a040e07578ead35e53b0879d9cf4008958b0e58ac4ec32d84d8485d658ba,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,JUDGE_ERROR,new6-b1-reader-v2.6-precision-labelled-register,JUDGE_ERROR,new6-b1-reader-v2.6-precision-labelled-register,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,,,,,,,,,,receipts/B1-qwen-R03.json,,"Alternative occurrence traceability requires explicit candidate declarations: scope,sale,credit,exception,essential_fields",SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION,UnknownApiError,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T00:57:49.464151Z,False
B1-qwen-R04,B1,new6-b1-v2,qwen,Qwen 3.8,N6GPAR-B1-QWEN-R04__mXF78nM,cbe3a1720f719f3ed1afac1fdd0db44bb28790bea4939c5cdd65a846dc51f861,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,SCORED,new6-b1-reader-v2.6-precision-labelled-register,SCORED,new6-b1-reader-v2.6-precision-labelled-register,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""1.0"", ""R004"": ""1.0"", ""R005"": ""1.0"", ""R006"": ""1.0"", ""R007"": ""1.0"", ""R008"": ""1.0""}",100,100,100,100,True,True,True,True,receipts/B1-qwen-R04.json,,,SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION,NonZeroAgentExitCodeError,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T02:21:23.145528Z,False
B1-qwen-R05,B1,new6-b1-v2,qwen,Qwen 3.8,N6GPAR-B1-QWEN-R05__nvzJDsc,ec08871e24c73c556d6e1c8fcf43e36ecf2c5d1ceac9d6a2811510116c3788be,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,SCORED,new6-b1-reader-v2.6-precision-labelled-register,SCORED,new6-b1-reader-v2.6-precision-labelled-register,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""1.0"", ""R004"": ""1.0"", ""R005"": ""0.975"", ""R006"": ""1.0"", ""R007"": ""1.0"", ""R008"": ""1.0""}",99.8,99.8461538461538461538461538461538461538461538461538461538462,99.8769230769230769230769230769230769230769230769230769230769,99.9076923076923076923076923076923076923076923076923076923077,True,True,True,True,receipts/B1-qwen-R05.json,,,SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION,NonZeroAgentExitCodeError,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T01:56:00.038739Z,False
B1-qwen-R06,B1,new6-b1-v2,qwen,Qwen 3.8,NEW6-B-RETAIL-CLOSE-001-QWEN-R06__MnV8uz7,4b5a9f0b03498de2856426059dd6a5a8a7fd9c6d1c1792e12c660752535c4496,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,JUDGE_ERROR,new6-b1-reader-v2.6-precision-labelled-register,JUDGE_ERROR,new6-b1-reader-v2.6-precision-labelled-register,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,,,,,,,,,,receipts/B1-qwen-R06.json,,Repeated required header roles require explicit disambiguation: ['metric'],SCOREABLE_ARTIFACT_WITH_UPSTREAM_EXCEPTION,AgentTimeoutError,POSTRUN_COLLECTED_APP_INPUT,2026-09-05T19:30:15.105099Z,False
B1-qwen-R07,B1,new6-b1-v2,qwen,Qwen 3.8,N6GPAR-B1-QWEN-R07__v9DZcQj,018ab1b94bbeefd0c7af70963344311d3f68fb3df457e4e9dfd77651eae45fd9,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,JUDGE_ERROR,new6-b1-reader-v2.6-precision-labelled-register,JUDGE_ERROR,new6-b1-reader-v2.6-precision-labelled-register,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,,,,,,,,,,receipts/B1-qwen-R07.json,,Uncached or unsupported formula at Bridge Sep-Oct!C22,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T03:04:54.349781Z,False
B1-qwen-R08,B1,new6-b1-v2,qwen,Qwen 3.8,N6B1IMAGE-B1-QWEN-R08__Xzy5iEG,0e5731f9e61ed039ffbe1a81ef57a2bf199f559d2c880a31e408e9380f6b5eb0,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,JUDGE_ERROR,new6-b1-reader-v2.6-precision-labelled-register,JUDGE_ERROR,new6-b1-reader-v2.6-precision-labelled-register,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,,,,,,,,,,receipts/B1-qwen-R08.json,,Uncached or unsupported formula at Reconciliation!C12,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T03:57:35.125574Z,False
B2-qwen-R01,B2,new6-b2-three-release-v3,qwen,Qwen 3.8,N6B2PRI-B2-QWEN-R01__JbCLAtU,a5d814033749c54ba3d5ad306dc67862e414d0d7935ae21116e3f869581a0333,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,SCORED,new6-b2-three-release-v3.3-authority-chart-series,SCORED,new6-b2-three-release-v3.3-authority-chart-series,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""1.0"", ""R004"": ""0.7111111111111111"", ""R005"": ""0.6666666666666666""}",89.222222222222221,84.6031746031746014285714285714285714285714285714285714285714,81.5238095238095217142857142857142857142857142857142857142857,78.444444444444442,True,True,True,True,receipts/B2-qwen-R01.json,,,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T06:07:00.140025Z,False
B2-qwen-R02,B2,new6-b2-three-release-v3,qwen,Qwen 3.8,N6B2PRI-B2-QWEN-R02__eehq3NB,11b14fe7da820221849aac45262c7b399040673cc0cdcd823452ccc877b18fb7,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,SCORED,new6-b2-three-release-v3.3-authority-chart-series,SCORED,new6-b2-three-release-v3.3-authority-chart-series,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""1.0"", ""R004"": ""0.7611111111111111"", ""R005"": ""0.6666666666666666""}",90.222222222222221,86.03174603174603,83.238095238095236,80.444444444444442,True,True,True,True,receipts/B2-qwen-R02.json,,,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T06:59:47.280791Z,False
B2-qwen-R03,B2,new6-b2-three-release-v3,qwen,Qwen 3.8,N6B2PRI-B2-QWEN-R03__6i6zQtY,cf6245f3423c69aa26ff9197082893994211fd13e825b7300ae57cc6239990d1,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,SCORED,new6-b2-three-release-v3.3-authority-chart-series,SCORED,new6-b2-three-release-v3.3-authority-chart-series,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,"{""R001"": ""0.9285714285714286"", ""R002"": ""1.0"", ""R003"": ""1.0"", ""R004"": ""0.9111111111111111"", ""R005"": ""1.0""}",97.150793650793651,96.6361416361416361538461538461538461538461538461538461538462,96.2930402930402929230769230769230769230769230769230769230769,95.9499389499389496923076923076923076923076923076923076923077,True,True,True,True,receipts/B2-qwen-R03.json,,,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T07:47:04.179912Z,False
B2-qwen-R04,B2,new6-b2-three-release-v3,qwen,Qwen 3.8,N6GPAR-B2-QWEN-R04__H9x2kVV,a66e036758bf52ab97bb35fcc781b439b07737156b298810d535732654b0f3a8,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,JUDGE_ERROR,new6-b2-three-release-v3.3-authority-chart-series,JUDGE_ERROR,new6-b2-three-release-v3.3-authority-chart-series,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,,,,,,,,,,receipts/B2-qwen-R04.json,,Current chart metric/period label cannot be bound.,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T10:49:17.042991Z,False
B2-qwen-R05,B2,new6-b2-three-release-v3,qwen,Qwen 3.8,N6GPAR-B2-QWEN-R05__87vMR63,1255e1ff2b5bd96afbfadf4dcb775f33b8c0de6ac96e3971b527712f866cd858,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,SCORED,new6-b2-three-release-v3.3-authority-chart-series,SCORED,new6-b2-three-release-v3.3-authority-chart-series,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,"{""R001"": ""1.0"", ""R002"": ""1.0"", ""R003"": ""1.0"", ""R004"": ""1.0"", ""R005"": ""0.6666666666666666""}",94.999999999999999,92.8571428571428557142857142857142857142857142857142857142857,91.4285714285714268571428571428571428571428571428571428571429,89.999999999999998,True,True,True,True,receipts/B2-qwen-R05.json,,,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T11:01:17.443038Z,False
B2-qwen-R06,B2,new6-b2-three-release-v3,qwen,Qwen 3.8,N6GPAR-B2-QWEN-R06__xq9CzXF,4f5c5881ada40856ae324a5e1f3cb54ddb57259dcc956f44b010d4e5240891ee,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,JUDGE_ERROR,new6-b2-three-release-v3.3-authority-chart-series,JUDGE_ERROR,new6-b2-three-release-v3.3-authority-chart-series,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,,,,,,,,,,receipts/B2-qwen-R06.json,,Current chart metric/period label cannot be bound.,TERMINAL_ARTIFACT_WITHOUT_RECORDED_EXCEPTION,,POSTRUN_COLLECTED_APP_INPUT,2026-09-06T11:16:44.333640Z,False
B2-qwen-R07,B2,new6-b2-three-release-v3,qwen,Qwen 3.8,N6GPAR-B2-QWEN-R07__2LZ9Qzq,,,openai/qwen3.8-max,NOT_CERTIFIED,CURRENT_FINAL_COHORT_OFFLINE_REPLAY,FINAL_OUTPUT_NOT_COLLECTED,,FINAL_OUTPUT_NOT_COLLECTED,,,PER_TASK_REPLAY_SNAPSHOT_FILE_HASHES,,,,,,,,,,,,,No collected final workbook in this selected slot; no numeric score assigned.,NO_COLLECTED_FINAL,,,,False
