case,task,task_version,system,trial_id,config_id,requested_model,observed_model_ids,model_identity_status,answer_sha256,source,current_judge_version,current_status,status,counts_as_independent_attempt,previous_available_status,previous_judge_version,judge_commit,judge_release,source_score_decimal,judge_evaluated_this_release,judge_version,receipt_origin,reason,original,score_50,score_60,pass_50,pass_60,pass_original,response_identity
A2-codex-R03,A2,new6-a2-v1.0-zambia,codex,NEW6-A-MACRO-SCENARIO-001-CODEX__taFhFmX,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,1ee8383c6b4480967a61f302168c0c088518a7efd281a13447d5e8d6f02a66bb,current,new6-a2-facts-v1.3-real-gdp-labels,SCORED,SCORED,True,SCORED,new6-a2-facts-v1.3-real-gdp-labels,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,0.882419323857087975412985017287744909719555,True,new6-a2-offline-v1.4-report-roles,new_fixed_judge,,0.882419323857087975412985017287744909719555,0.879979230695351517479830964271993853246259375,0.8791658663081060315021129466000768344218275,True,True,True,REQUESTED_ONLY
B1-codex-R07,B1,new6-b1-v2,codex,NEW6-B-RETAIL-CLOSE-001-CODEX-R0__FLJS6zS,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,21fb3549bf61578cef76eb9f400060fd81799efdcda1e151f375c21f5d4af97b,current,new6-b1-reader-v2.3.1,SCORED,SCORED,True,SCORED,new6-b1-reader-v2.3.1,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,0.98749999999999999,True,release_lock:new6-offline-reader-v1,new_fixed_judge,,0.98749999999999999,0.990384615384615376923076923076923076923076923077,0.992307692307692301538461538461538461538461538462,True,True,True,REQUESTED_ONLY
A1-codex-R04,A1,new6-a1-v1.1-historical-rate,codex,NEW6-A-FIN-RESTORE-001-CODEX-R04__rNSwGuP,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,a1f3f94de9984d06e4426eeee71c340ca136e8c600db4eb53e66a463a2bbc8aa,current,new6-a1-v1.3-proven-formula-defects,SCORED,SCORED,True,SCORED,new6-a1-v1.3-proven-formula-defects,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,0.622493563531728034,True,new6-a1-offline-v1.4-base-controls,new_fixed_judge,,0.622493563531728034,0.580578175421428512307692307692307692307692307692,0.552634583347895497846153846153846153846153846154,False,False,False,REQUESTED_ONLY
B1-codex-R03,B1,new6-b1-v2,codex,NEW6-B-RETAIL-CLOSE-001-CODEX-R0__i89H9aQ,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,6a27d6fa6307701c7975423d96137be65e3e3d0c8435eccca3c230b1ec1b0a5b,current,new6-b1-reader-v2.3.1,SCORED,SCORED,True,SCORED,new6-b1-reader-v2.3.1,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,0.99355138958507883,True,release_lock:new6-offline-reader-v1,new_fixed_judge,,0.99355138958507883,0.994597697271488113186813186813186813186813186813,0.995295235729094301978021978021978021978021978022,True,True,True,REQUESTED_ONLY
A1-codex-R03,A1,new6-a1-v1.1-historical-rate,codex,NEW6-A-FIN-RESTORE-001-CODEX-R03__q2MuEmE,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,0e4bca11cfc7dbf14e4e8f1e5def818177daf3aff219bd710e9152018ecd2d13,current,new6-a1-v1.3-proven-formula-defects,SCORED,SCORED,True,SCORED,new6-a1-v1.3-proven-formula-defects,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,0.927453430258973205,True,new6-a1-offline-v1.4-base-controls,new_fixed_judge,,0.927453430258973205,0.940472861985810657692307692307692307692307692308,0.949152483137035626153846153846153846153846153846,True,True,True,REQUESTED_ONLY
B1-codex-R06,B1,new6-b1-v2,codex,NEW6-B-RETAIL-CLOSE-001-CODEX-R0__YVpN3S7,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,760e81f2718066138d02bda4cc28ef30ffbb53cab482f00a363f9a54f19d2de3,current,new6-b1-reader-v2.3.1,SCORED,SCORED,True,SCORED,new6-b1-reader-v2.3.1,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,1.0,True,release_lock:new6-offline-reader-v1,new_fixed_judge,,1,1,1,True,True,True,REQUESTED_ONLY
A2-codex-R08,A2,new6-a2-v1.0-zambia,codex,NEW6-A-MACRO-SCENARIO-001-CODEX__J7TZcZg,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,5efb8c0a2bb077d673a9ad3efb5f8fc299681077c31570a6fc9f4037af7189c4,offline_same_answer_fallback,new6-a2-facts-v1.3-real-gdp-labels,JUDGE_ERROR,SCORED,True,SCORED,new6-a2-offline-v1.4-report-roles,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,0.994006915097963887821744141375336150595455,True,new6-a2-offline-v1.4-report-roles,reused_identical_fixed_judge,,0.994006915097963887821744141375336150595455,0.994885708797541298501728774490971955436009375,0.9951786400307337687283903188628505570495275,True,True,True,REQUESTED_ONLY
C2-codex-R01,C2,new6-c2-natural-v2,codex,NEW6-C-PARCEL-TARIFF-001-CODEX-R__Sdo36Gk,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,ed294111b5cac85e6da46a3a298bdaa6b808eff5fea521991adb9b3b7d55ed60,offline_same_answer_fallback,new6-usps-facts-v2.4-natural-quote-layouts,JUDGE_ERROR,SCORED,True,SCORED,new6-offline-reader-v1,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,1,True,release_lock:new6-offline-reader-v1,reused_identical_fixed_judge,,1,1,1,True,True,True,REQUESTED_ONLY
C2-codex-R05,C2,new6-c2-natural-v2,codex,NEW6-C-PARCEL-TARIFF-001-CODEX-R__xYoGq7T,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,ef02ca99293fc095a7c1a775e9e006f660aaa01394da81e4a5fcb3abfcc9ff1c,offline_same_answer_fallback,new6-usps-facts-v2.4-natural-quote-layouts,JUDGE_ERROR,SCORED,True,SCORED,new6-offline-reader-v1,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,1,True,release_lock:new6-offline-reader-v1,reused_identical_fixed_judge,,1,1,1,True,True,True,REQUESTED_ONLY
C2-codex-R08,C2,new6-c2-natural-v2,codex,NEW6-C-PARCEL-TARIFF-001-CODEX-R__7UpKMvg,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,c951e64482861206c9b0f5f6123c1ea8663b7b9b28a9321349898f287b101815,current,new6-usps-facts-v2.4-natural-quote-layouts,SCORED,SCORED,True,SCORED,new6-usps-facts-v2.4-natural-quote-layouts,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,0.296858974358974358974358974348,True,release_lock:new6-offline-reader-v1,new_fixed_judge,,0.296858974358974358974358974348,0.228353057199211045364891518729230769230769230769,0.182682445759368836291913214983384615384615384615,False,False,False,REQUESTED_ONLY
B1-codex-R04,B1,new6-b1-v2,codex,NEW6-B-RETAIL-CLOSE-001-CODEX-R0__JatSZGt,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,564e5b343e6ef1b4cee1a8242632133286625a0cdece92ba26a7627fc53f5270,current,new6-b1-reader-v2.3.1,SCORED,SCORED,True,SCORED,new6-b1-reader-v2.3.1,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,0.99946848899012908,True,release_lock:new6-offline-reader-v1,new_fixed_judge,,0.99946848899012908,0.999240698557327257142857142857142857142857142857,0.999088838268792708571428571428571428571428571429,True,True,True,REQUESTED_ONLY
C2-codex-R02,C2,new6-c2-natural-v2,codex,NEW6-C-PARCEL-TARIFF-001-CODEX-R__mmFw8de,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,2950a925ff9b83f581ff76a24b38bf59a1c08a38f7a7c0a7015dc725cd78aa74,current,new6-usps-facts-v2.4-natural-quote-layouts,SCORED,SCORED,True,SCORED,new6-usps-facts-v2.4-natural-quote-layouts,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,0.50588697017268445839874411303,True,release_lock:new6-offline-reader-v1,new_fixed_judge,,0.50588697017268445839874411303,0.389143823209757275691341625407692307692307692308,0.311315058567805820553073300326153846153846153846,False,False,False,REQUESTED_ONLY
A1-codex-R06,A1,new6-a1-v1.1-historical-rate,codex,NEW6-A-FIN-RESTORE-001-CODEX-R06__VUt9VS4,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,0cd2113f994b7ddec81e877ccec52f373705c635242b5a19ebfc6333902c2ebc,current,new6-a1-v1.3-proven-formula-defects,SCORED,SCORED,True,SCORED,new6-a1-v1.3-proven-formula-defects,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,0.99,True,new6-a1-offline-v1.4-base-controls,new_fixed_judge,,0.99,0.992307692307692307692307692307692307692307692308,0.993846153846153846153846153846153846153846153846,True,True,True,REQUESTED_ONLY
C2-codex-R07,C2,new6-c2-natural-v2,codex,NEW6-C-PARCEL-TARIFF-001-CODEX-R__tjkAVwu,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,b5efebca379c151ec83034b395d6c33f90a6a621a8661392291f437f6dcaf290,current,new6-usps-facts-v2.4-natural-quote-layouts,SCORED,SCORED,True,SCORED,new6-usps-facts-v2.4-natural-quote-layouts,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,1,True,release_lock:new6-offline-reader-v1,new_fixed_judge,,1,1,1,True,True,True,REQUESTED_ONLY
A2-codex-R06,A2,new6-a2-v1.0-zambia,codex,NEW6-A-MACRO-SCENARIO-001-CODEX__YyqXn6p,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,db7cf3abfd673e4493028bd04cbb6e4db7e4d842c5c6780ee944818e0a39e0a2,current,new6-a2-facts-v1.3-real-gdp-labels,SCORED,SCORED,True,SCORED,new6-a2-facts-v1.3-real-gdp-labels,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,0.882419323857087975412985017287744909719555,True,new6-a2-offline-v1.4-report-roles,new_fixed_judge,,0.882419323857087975412985017287744909719555,0.879979230695351517479830964271993853246259375,0.8791658663081060315021129466000768344218275,True,True,True,REQUESTED_ONLY
A1-codex-R05,A1,new6-a1-v1.1-historical-rate,codex,NEW6-A-FIN-RESTORE-001-CODEX-R05__7xBF9se,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,c723c4969955e40ef7c5d683f8f1b54fbcbff522eeafdc1dc56862f5066e5a1c,current,new6-a1-v1.3-proven-formula-defects,SCORED,SCORED,True,SCORED,new6-a1-v1.3-proven-formula-defects,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,0.92321671967287597,True,new6-a1-offline-v1.4-base-controls,new_fixed_judge,,0.92321671967287597,0.933491769475413284615384615384615384615384615385,0.940341802677104827692307692307692307692307692308,True,True,True,REQUESTED_ONLY
A1-codex-R01,A1,new6-a1-v1.1-historical-rate,codex,NEW6-A-FIN-RESTORE-001-CODEX-R01__c8VpyLQ,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,ed51e6b91f0a97cdd66235c069282cf1513cd285c8db0ddd89e461fe9214b2e3,current,new6-a1-v1.3-proven-formula-defects,SCORED,SCORED,True,SCORED,new6-a1-v1.3-proven-formula-defects,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,0.927453430258973205,True,new6-a1-offline-v1.4-base-controls,new_fixed_judge,,0.927453430258973205,0.940472861985810657692307692307692307692307692308,0.949152483137035626153846153846153846153846153846,True,True,True,REQUESTED_ONLY
A1-codex-R08,A1,new6-a1-v1.1-historical-rate,codex,NEW6-A-FIN-RESTORE-001-CODEX-R08__bF2niLj,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,510d623e625be84c32421d2a357df6fe59e17cf3505c20013ac186fd65c70667,current,new6-a1-v1.3-proven-formula-defects,SCORED,SCORED,True,SCORED,new6-a1-v1.3-proven-formula-defects,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,0.917995224933832405,True,new6-a1-offline-v1.4-base-controls,new_fixed_judge,,0.917995224933832405,0.926993845482600619230769230769230769230769230769,0.932992925848446095384615384615384615384615384615,True,True,True,REQUESTED_ONLY
A2-codex-R04,A2,new6-a2-v1.0-zambia,codex,NEW6-A-MACRO-SCENARIO-001-CODEX__dzBCyfb,8ca5d5a4e8e6d50d,gpt-5.6-sol,[],REQUESTED_ONLY,bd4b25a929716ff0d742308da9b68a0dfe0769aee2015e3c65824cfc7bc6ee50,current,new6-a2-facts-v1.3-real-gdp-labels,SCORED,SCORED,True,SCORED,new6-a2-facts-v1.3-real-gdp-labels,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,1,True,new6-a2-offline-v1.4-report-roles,new_fixed_judge,,1,1,1,True,True,True,REQUESTED_ONLY
A2-claude-R06,A2,new6-a2-v1.0-zambia,claude,NEW6-A-MACRO-SCENARIO-001-CLAUDE__ooELUEe,763cb251b6b4825d,claude-opus-5,['claude-opus-5'],RESPONSE_MODEL_RECORDED,646f9a379a6d1a1782ec5f8391cd164aaeed21540d90c5d0f00addf77b9fe6e8,current,new6-a2-facts-v1.3-real-gdp-labels,JUDGE_ERROR,JUDGE_ERROR,True,JUDGE_ERROR,new6-a2-facts-v1.3-real-gdp-labels,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,,False,,retained_generation_or_unscored_status_not_new_judge_result,UNSCORED: inspect private fixed-Judge or generation receipt,,,,,,,claude-opus-5
C2-claude-R05,C2,new6-c2-natural-v2,claude,NEW6-C-PARCEL-TARIFF-001-CLAUDE__kvS2xLs,763cb251b6b4825d,claude-opus-5,['claude-opus-5'],RESPONSE_MODEL_RECORDED,3c7f9b7cdb128eab2ae24659d5f6a6512fbe54333f6a9f6aabfb1055f11a873e,current,new6-usps-facts-v2.4-natural-quote-layouts,JUDGE_ERROR,JUDGE_ERROR,True,JUDGE_ERROR,new6-usps-facts-v2.4-natural-quote-layouts,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,,False,,retained_generation_or_unscored_status_not_new_judge_result,UNSCORED: inspect private fixed-Judge or generation receipt,,,,,,,claude-opus-5
A1-claude-R04,A1,new6-a1-v1.1-historical-rate,claude,NEW6-A-FIN-RESTORE-001-CLAUDE-R0__gQJCtA3,763cb251b6b4825d,claude-opus-5,['claude-opus-5'],RESPONSE_MODEL_RECORDED,35989e3f33dbf1d59c32bf9ae7dbff2e10aae35f5faad39c6caa52860d16a0d0,current,new6-a1-v1.3-proven-formula-defects,SCORED,JUDGE_ERROR,True,SCORED,new6-a1-v1.3-proven-formula-defects,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,,True,new6-a1-offline-v1.4-base-controls,new_fixed_judge,UNSCORED: inspect private fixed-Judge or generation receipt,,,,,,,claude-opus-5
A2-claude-R07,A2,new6-a2-v1.0-zambia,claude,NEW6-A-MACRO-SCENARIO-001-CLAUDE__TAhNjFa,763cb251b6b4825d,claude-opus-5,['claude-opus-5'],RESPONSE_MODEL_RECORDED,d1b029c169727dd7d4f2e8cefdcb1df9a4247b14ec381460a0b74018bea6bb84,current,new6-a2-facts-v1.3-real-gdp-labels,JUDGE_ERROR,JUDGE_ERROR,True,JUDGE_ERROR,new6-a2-facts-v1.3-real-gdp-labels,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,,False,,retained_generation_or_unscored_status_not_new_judge_result,UNSCORED: inspect private fixed-Judge or generation receipt,,,,,,,claude-opus-5
B1-claude-R02,B1,new6-b1-v2,claude,NEW6-B-RETAIL-CLOSE-001-CLAUDE-R__Pzs2T3q,763cb251b6b4825d,claude-opus-5,['claude-opus-5'],RESPONSE_MODEL_RECORDED,ab6457e024e0c756637af408d6992889cb42488d2a9f87e84f4e0cffc23bfdc5,current,new6-b1-reader-v2.3.1,JUDGE_ERROR,JUDGE_ERROR,True,JUDGE_ERROR,new6-b1-reader-v2.3.1,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,,False,,retained_generation_or_unscored_status_not_new_judge_result,UNSCORED: inspect private fixed-Judge or generation receipt,,,,,,,claude-opus-5
A1-claude-R05,A1,new6-a1-v1.1-historical-rate,claude,NEW6-A-FIN-RESTORE-001-CLAUDE-R0__UPbBSZY,763cb251b6b4825d,claude-opus-5,['claude-opus-5'],RESPONSE_MODEL_RECORDED,f985b7fb86b215f8d79c914031902c2fcd2412b29a3a3e6e2b99080eaaf584c1,current,new6-a1-v1.3-proven-formula-defects,JUDGE_ERROR,JUDGE_ERROR,True,JUDGE_ERROR,new6-a1-v1.3-proven-formula-defects,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,,False,,retained_generation_or_unscored_status_not_new_judge_result,UNSCORED: inspect private fixed-Judge or generation receipt,,,,,,,claude-opus-5
A1-claude-R02,A1,new6-a1-v1.1-historical-rate,claude,NEW6-A-FIN-RESTORE-001-CLAUDE-R0__d2n7Tg4,763cb251b6b4825d,claude-opus-5,['claude-opus-5'],RESPONSE_MODEL_RECORDED,25b8a2e9c080a9efdb5867b58853babd7ec5dfc9aa0a63b8385cad2d2b80410d,offline_same_answer_fallback,new6-a1-v1.3-proven-formula-defects,JUDGE_ERROR,SCORED,True,SCORED,new6-a1-offline-v1.4-base-controls,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,0.696313589421835675,True,new6-a1-offline-v1.4-base-controls,reused_identical_fixed_judge,,0.696313589421835675,0.633020378959724719230769230769230769230769230769,0.590824905318317415384615384615384615384615384615,False,False,False,claude-opus-5
C2-claude-R01,C2,new6-c2-natural-v2,claude,NEW6-C-PARCEL-TARIFF-001-CLAUDE__4SQvB5E,763cb251b6b4825d,claude-opus-5,['claude-opus-5'],RESPONSE_MODEL_RECORDED,88a234bfa5096a487fd66b5682d89c7c38508b2339f5b24873869e852cf3e52d,current,new6-usps-facts-v2.4-natural-quote-layouts,JUDGE_ERROR,JUDGE_ERROR,True,JUDGE_ERROR,new6-usps-facts-v2.4-natural-quote-layouts,34374f08f331e7184010c40b401f1630a49df394,new6-offline-reader-v1,,False,,retained_generation_or_unscored_status_not_new_judge_result,UNSCORED: inspect private fixed-Judge or generation receipt,,,,,,,claude-opus-5
