task,task_version,system,config_id,response_identity,attempts,scored_n,unscored_n,missing_n,judge_pending_n,judge_execution_error_n,run_collection_pending_n,configuration_count,scope,mean_original,passes_original,descriptive_pass_at_1_original,descriptive_pass_at_8_original,mean_50,passes_50,descriptive_pass_at_1_50,descriptive_pass_at_8_50,mean_60,passes_60,descriptive_pass_at_1_60,descriptive_pass_at_8_60,pass_k_note,formal_acceptance_pass_at_1,formal_acceptance_pass_at_8,formal_acceptance_reason
B1,new6-b1-v2,qwen,43e4a9c77eff4d0f,REQUESTED_ONLY,1,0,1,0,0,0,1,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,,,,,,,,,,,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
B1,new6-b1-v2,qwen,65581815cf47cb5d,REQUESTED_ONLY,1,0,1,0,1,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,,,,,,,,,,,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
B1,new6-b1-v2,qwen,8bc199823babfb1b,REQUESTED_ONLY,1,0,1,0,1,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,,,,,,,,,,,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
B1,new6-b1-v2,qwen,e5c00a4b8d2c76fd,REQUESTED_ONLY,5,0,5,0,1,0,4,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,,,,,,,,,,,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
B2,new6-b2-three-release-v3,claude,763cb251b6b4825d,claude-opus-5,7,3,4,0,4,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,0.559246272246272257666666666666666666666666666667,0,,,0.546770636770636784578754578754578754578754578755,0,,,0.538453546453546469186813186813186813186813186813,0,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
B2,new6-b2-three-release-v3,claude,763cb251b6b4825d,claude-opus-5-thinking-high,1,0,1,1,0,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,,,,,,,,,,,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
B2,new6-b2-three-release-v3,codex,868f3be7850eba7a,REQUESTED_ONLY,8,8,0,0,0,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,0.904977678571428575875,8,1,1,0.890230082417582426936813186813186813186813186813,8,1,1,0.880398351648351660978021978021978021978021978022,8,1,1,Complete same-configuration observed outcomes; requested model identity may be unverified,,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
B2,new6-b2-three-release-v3,qwen,cbe37eb4b4cfc204,REQUESTED_ONLY,8,0,8,0,0,0,8,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,,,,,,,,,,,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
C1,new6-c1-revision-v2,claude,763cb251b6b4825d,claude-opus-5-thinking-high,1,0,1,1,0,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,,,,,,,,,,,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
C1,new6-c1-revision-v2,claude,d2b93fdc116ca2eb,claude-opus-5,7,2,5,0,5,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,0.4242808205556549927410854563172443967146,0,,,0.326369861965888455954681120244034151318923076923,0,,,0.261095889572710764763744896195227321055138461538,0,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
C1,new6-c1-revision-v2,codex,868f3be7850eba7a,REQUESTED_ONLY,8,8,0,0,0,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,0.8985125953408058216581107453552025967804875,8,1,1,0.916916043238746953114934687062530425617099038462,8,1,1,0.929185008504041040752817314867415644841506730770,8,1,1,Complete same-configuration observed outcomes; requested model identity may be unverified,,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
C1,new6-c1-revision-v2,qwen,cbe37eb4b4cfc204,REQUESTED_ONLY,8,0,8,0,0,0,8,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,,,,,,,,,,,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
C2,new6-c2-natural-v2,claude,763cb251b6b4825d,claude-opus-5,6,3,3,0,3,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,0.633446860679003536146393289238333333333333333333,0,,,0.522231850871960762070652180529487179487179487179,0,,,0.448088511000598912686824774723589743589743589743,0,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
C2,new6-c2-natural-v2,claude,763cb251b6b4825d,claude-opus-5-thinking-high,2,0,2,2,0,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,,,,,,,,,,,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
C2,new6-c2-natural-v2,codex,8ca5d5a4e8e6d50d,REQUESTED_ONLY,8,8,0,0,0,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,0.82445350780172208743637315065475,6,0.75,1,0.791537663343982025300706619383461538461538461538,6,0.75,1,0.769593767038821983876928931869269230769230769231,5,0.625,1,Complete same-configuration observed outcomes; requested model identity may be unverified,,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
C2,new6-c2-natural-v2,qwen,65581815cf47cb5d,REQUESTED_ONLY,4,4,0,0,0,0,0,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,0.50691462109319252176395033538075,0,,,0.431892365875882359398842915329423076923076923077,0,,,0.381877529064342251155437968628538461538461538462,0,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
C2,new6-c2-natural-v2,qwen,e5c00a4b8d2c76fd,REQUESTED_ONLY,4,0,4,0,2,0,2,1,CONFIGURATION_RESPONSE_IDENTITY_STRATIFIED,,,,,,,,,,,,,"Incomplete or mixed configuration group, or unverified Qwen identity; no estimate",,,Post-result weight exploration; no formal model identity/substitution and difficulty acceptance
